#sigma,tau
1.4974104183097354,200.24848843212584
1.4675964920330609,201.9223481013487
1.4675462975834916,201.23805971853412
1.4933835152743067,199.42324025026724
1.485750865808587,200.6504873107089
1.4782176380308505,201.07764513895665
1.4370019103093352,205.45614943428913
1.4755273388142507,201.44199065393428
1.4582149858146933,203.17609483740117
1.473823537833867,201.5423631071685
1.4923380888299893,199.85024651487095
1.4473231642872282,204.16595357867675
1.4714663481070926,202.8122649632531
1.5073575231618548,198.60420809937435
1.4006972756364666,210.22947291272155
1.4932593703701227,198.77314660519204
1.4635849478389804,202.39899048794743
1.5369427053207259,196.36231448452946
1.4861344728575572,201.42816201764606
1.4943686502925726,200.4557501362484
1.4641908921492777,200.3632519501421
1.44636122576746,204.1530273951831
1.5133746222873392,198.46513890661515
1.5013764782942107,197.6482410327781
1.5247507678627947,197.06209695185558
1.3988264481477686,207.14683642872834
1.5180351431345493,197.24669274898693
1.5127815736288828,198.2202833454237
1.5542493845353467,194.00892212891378
1.3664973562290497,210.07928766106053
1.5215151454718523,197.72820543809823
1.464231531073088,202.33956991868993
1.4828937996942948,200.74753328054751
1.5403700759215186,195.3544968656925
1.4691385473022223,201.91843784248306
1.5173655855363712,198.7608557166553
1.4867352519394532,200.11563439974532
1.3690626708029552,211.51467548326502
1.5125042219616922,197.45005297613312
1.3729770883525472,212.99404542269463
1.5519476963081906,195.34064761492334
1.5198581275959893,197.12579007526062
1.413738645186603,207.37308887237393
1.3871627763232428,209.96152087515426
1.4410183278158115,204.61381076194039
1.48810993226879,200.17259404140188
1.4749321892231637,201.31602186011887
1.4911867887620298,199.97528757485816
1.6376484008710148,187.95386381766707
1.4547992554456481,202.87659631923907
1.4552175906005775,203.4056527739228
1.4876355447308314,200.57817175217684
1.455465633364723,203.914306820713
1.4620860823887798,202.05904977225438
1.4780057361048786,201.34173775198903
1.4760865004557742,202.37019468672017
1.4955426426367635,200.33828365526225
1.5231629467863168,197.0803239612681
1.4165546977332555,206.58751613445688
1.460454542969688,202.75730991008356
1.5083496001013434,198.22080456487836
1.4656154809952073,201.82511203661312
1.577021684399591,195.30085306854403
1.4653677442384565,201.88577387518455
1.443511909914404,203.5116251849689
1.4516326415921035,202.7073317559517
1.4222228367986585,206.95594341733766
1.51287340058609,198.65153218406627
1.4933242022567075,198.84629531293672
1.4425378527122406,204.58025630294233
1.4963469048495357,199.4987808737524
1.4775113336045453,201.18332438728305
1.5038087006041991,199.12232532046173
1.4843972054797125,201.60277012825748
1.488371310915034,199.63759712803318
1.4836518468234825,200.61250062110577
1.4319183766803205,204.3062558827101
1.5143914057028118,197.7964139977188
1.4247289824852478,205.6985289529566
1.513750764305661,197.44680356663397
1.46881529492505,201.44887187157858
1.42960319425698,205.67048685276944
1.4867585873612637,200.15568899264431
1.547895662209988,195.3740812747174
1.413926679521317,206.53496011268584
1.503638523711688,199.10796029348205
1.4782703687906917,196.08545379398834
1.499606066612852,199.24223113526025
1.5051581477982396,198.08705354912155
1.4464586217280428,203.9818211577541
1.4803106459192408,200.2848834680453
1.456885928811198,202.8959701737107
1.5446260634755922,195.30482560827235
1.4485070494265544,205.10098393426242
1.5057872320138717,198.42485669442377
1.6224154570427085,189.95807393754978
1.4640651125132802,202.58535633308412
1.493049705781428,201.07414460641164
1.5132391623992327,198.54435582407746
1.496738050010821,199.6219661175502
1.4974104183097354,200.24848843212584
1.4516030048225292,203.17657873595803
1.424391439598659,204.95725301713597
1.5286347579512156,196.0234018985683
1.5047164332797391,199.4049496078658
1.4799598501714393,201.0199446868532
1.4430122523511837,204.8224714812593
1.474649625487642,201.56114552937893
1.46705889981172,201.4492289096982
1.4546109512695853,202.61798621666796
1.548024112182678,194.96639418160282
1.4473231642872282,204.16595357867675
1.448695163905189,205.28607869434302
1.5064127878074385,198.68446346047645
1.3873371761502202,211.72808642195844
1.505530708108418,196.29411038033848
1.4476738877448505,203.59214116263112
1.5213353263787526,197.61052682888484
1.4996708449486331,201.09808483551552
1.5039873106721728,200.0163599929302
1.4641908921492777,200.3632519501421
1.445540591168449,204.14199385318238
1.510327420715452,198.67379663574135
1.5340562373295297,194.84464902034722
1.5348292672586472,196.365237916551
1.42015070610484,205.48070893065986
