#x,y,yerr,mask
0.0,6.75749,0.06846,False
8.004,6.37599,0.06364,False
16.008,5.745,0.05907,False
24.01201,6.03359,0.05945,False
32.01601,5.80835,0.05733,False
40.02001,5.83052,0.05804,False
48.02401,6.30086,0.06342,False
56.02801,6.12194,0.06099,False
64.03202,5.38294,0.05388,False
72.03602,5.35162,0.05349,False
80.04002,5.51259,0.05457,False
88.04402,5.02066,0.04887,False
96.04802,5.88605,0.05861,False
104.05203,6.11232,0.06116,False
112.05603,6.29771,0.06421,False
120.06003,5.76171,0.05788,False
128.06403,6.84925,0.06825,False
136.06803,7.60917,0.07699,False
144.07204,6.98515,0.0699,False
152.07604,7.32427,0.07578,False
160.08004,8.95925,0.08858,False
168.08404,9.70374,0.09678,False
176.08804,10.05163,0.10015,False
360.18009,11.86653,0.11877,False
368.18409,10.52601,0.10424,False
376.18809,10.26178,0.10171,False
384.1921,10.36072,0.10441,False
392.1961,10.55311,0.10617,False
400.2001,9.3078,0.09306,False
408.2041,9.38473,0.09362,False
416.2081,9.53785,0.09487,False
424.21211,11.04452,0.10906,False
432.21611,10.79428,0.10645,False
440.22011,11.28695,0.11422,False
448.22411,11.76429,0.11735,False
456.22811,11.65911,0.11566,False
464.23212,10.33639,0.10438,False
472.23612,10.65236,0.10512,False
480.24012,10.02504,0.10088,False
488.24412,10.41034,0.10411,False
496.24812,11.71099,0.11831,False
504.25213,11.67981,0.11815,False
512.25613,11.16417,0.11207,False
520.26013,11.37272,0.11273,False
528.26413,10.79138,0.10759,False
536.26813,10.45264,0.10238,False
720.36018,12.49024,0.12614,False
728.36418,12.60523,0.1264,False
736.36818,12.88386,0.12757,False
744.37219,11.92754,0.12156,False
752.37619,12.62193,0.12581,False
760.38019,12.73186,0.12585,False
768.38419,12.49311,0.12611,False
776.38819,13.00042,0.12798,False
784.3922,13.26505,0.13132,False
792.3962,13.21823,0.1332,False
800.4002,13.89556,0.13962,False
808.4042,13.90155,0.13829,False
816.4082,13.64591,0.13599,False
824.41221,14.1693,0.14287,False
832.41621,13.82201,0.13819,False
840.42021,12.77666,0.12689,False
848.42421,10.98171,0.10978,False
856.42821,10.78827,0.10769,False
864.43222,10.46643,0.10515,False
872.43622,11.62783,0.11545,False
880.44022,10.92692,0.11131,False
888.44422,10.88458,0.11082,False
896.44822,10.9564,0.10962,False
1080.54027,11.08365,0.11186,False
1088.54427,11.99129,0.1182,False
1096.54827,12.56677,0.12563,False
1104.55228,11.68321,0.11831,False
1112.55628,12.05569,0.12231,False
1120.56028,11.71751,0.1153,False
1128.56428,12.1932,0.12388,False
1136.56828,12.48748,0.12548,False
1144.57229,13.44557,0.13592,False
1152.57629,13.24725,0.13258,False
1160.58029,12.67223,0.12773,False
1168.58429,12.65115,0.1249,False
1176.58829,13.04581,0.12976,False
1184.5923,14.24137,0.14254,True
1192.5963,13.6197,0.13775,False
1200.6003,13.33194,0.13206,False
1208.6043,12.63938,0.12665,False
1216.6083,11.65105,0.1165,False
1224.61231,11.57125,0.11638,False
1232.61631,11.23075,0.11272,False
1240.62031,10.97465,0.10926,False
1248.62431,10.89913,0.10946,False
1256.62831,10.92827,0.10907,False
1440.72036,9.97747,0.10141,False
1448.72436,9.67948,0.09817,False
1456.72836,10.112,0.10091,False
1464.73237,9.8309,0.09845,False
1472.73637,10.42715,0.10356,False
1480.74037,10.73264,0.10568,False
1488.74437,9.23795,0.09138,False
1496.74837,10.06054,0.10005,False
1504.75238,10.01607,0.09943,False
1512.75638,9.92769,0.0991,False
1520.76038,9.45321,0.09433,False
1528.76438,8.95606,0.08993,False
1536.76838,8.86774,0.08872,False
1544.77239,9.09575,0.08967,False
1552.77639,8.53452,0.08572,False
1560.78039,7.64745,0.07839,False
1568.78439,8.08085,0.0795,False
1576.78839,7.56402,0.07555,False
1584.7924,7.43527,0.0752,False
1592.7964,8.63728,0.08591,False
1600.8004,8.65959,0.08639,False
1608.8044,9.01497,0.09,False
1616.8084,8.92144,0.08881,False
1800.90045,7.56848,0.07509,False
1808.90445,7.78179,0.07807,False
1816.90845,8.50355,0.08636,False
1824.91246,9.40149,0.09554,False
1832.91646,9.31143,0.09266,False
1840.92046,9.20695,0.09284,False
1848.92446,8.58233,0.0881,False
1856.92846,8.1869,0.08141,False
1864.93247,8.9627,0.09007,False
1872.93647,8.62561,0.08569,False
1880.94047,8.23685,0.08233,False
1888.94447,8.52115,0.08574,False
1896.94847,8.03164,0.0791,False
1904.95248,8.203,0.08381,False
1912.95648,8.16445,0.08331,False
1920.96048,8.00226,0.08124,False
1928.96448,7.79714,0.07941,False
1936.96848,8.33302,0.08172,False
1944.97249,7.6732,0.07757,False
1952.97649,8.01492,0.0814,False
1960.98049,8.29714,0.08313,False
1968.98449,8.19664,0.08336,False
1976.98849,8.68744,0.08642,False
