#x,y,yerr,mask
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
8.004,2.65139,0.02713,False
