#x,y,yerr,mask
0.0,1.54414,0.01553,False
8.004,1.43844,0.01425,False
16.008,1.39579,0.01389,False
24.01201,1.28984,0.01278,False
32.01601,1.15598,0.01173,False
40.02001,1.02593,0.01028,False
48.02401,1.39583,0.01393,False
56.02801,1.4022,0.01397,False
64.03202,1.22584,0.01213,False
72.03602,1.3643,0.01375,False
80.04002,1.50532,0.01489,False
88.04402,1.76436,0.01746,False
96.04802,1.78604,0.01775,False
104.05203,1.83063,0.01823,False
112.05603,1.91301,0.01925,False
120.06003,1.69614,0.01688,False
128.06403,1.88626,0.01899,False
136.06803,1.79298,0.01793,False
144.07204,1.5845,0.01581,False
152.07604,1.44011,0.01427,False
160.08004,1.35884,0.01355,False
168.08404,1.19165,0.01194,False
176.08804,1.40939,0.01404,False
360.18009,1.57058,0.01562,False
368.18409,1.47567,0.01493,False
376.18809,1.65533,0.01642,False
384.1921,1.87858,0.01896,False
392.1961,1.70255,0.01738,False
400.2001,1.87858,0.01878,False
408.2041,2.10033,0.02104,False
416.2081,2.40055,0.02399,False
424.21211,2.53279,0.02505,False
432.21611,2.43901,0.02436,False
440.22011,2.43991,0.02428,False
448.22411,2.41356,0.02431,False
456.22811,2.65471,0.02642,False
464.23212,2.88248,0.0286,False
472.23612,2.85115,0.02841,False
480.24012,2.97483,0.02964,False
488.24412,2.93268,0.02969,False
496.24812,2.97778,0.03012,False
504.25213,2.98484,0.03004,False
512.25613,2.94245,0.02946,False
520.26013,3.02686,0.03037,False
528.26413,3.16261,0.03123,False
536.26813,3.40549,0.03403,False
720.36018,2.6036,0.02592,False
728.36418,2.51237,0.02511,False
736.36818,2.64977,0.02665,False
744.37219,2.8207,0.02806,False
752.37619,2.88115,0.02917,False
760.38019,2.89969,0.02917,False
768.38419,2.77786,0.02785,False
776.38819,2.71173,0.02744,False
784.3922,2.63414,0.0263,False
792.3962,2.52606,0.02486,False
800.4002,2.49455,0.02535,False
808.4042,2.59787,0.02636,False
816.4082,2.8479,0.02775,False
824.41221,2.94942,0.03028,False
832.41621,2.90392,0.02922,False
840.42021,2.82144,0.02805,False
848.42421,2.72604,0.02771,False
856.42821,2.65113,0.02656,False
864.43222,2.45858,0.02466,False
872.43622,2.40085,0.02405,False
880.44022,2.25008,0.02233,False
888.44422,2.19685,0.02219,False
896.44822,2.14722,0.02141,False
1080.54027,3.55305,0.0353,False
1088.54427,3.29223,0.03284,False
1096.54827,2.86933,0.02866,False
1104.55228,2.71932,0.02719,False
1112.55628,2.65882,0.02661,False
1120.56028,2.87962,0.02804,False
1128.56428,2.66672,0.02698,False
1136.56828,2.68078,0.02686,False
1144.57229,2.79491,0.02766,False
1152.57629,2.81189,0.02808,False
1160.58029,2.73853,0.0274,False
1168.58429,2.87322,0.02835,False
1176.58829,2.83666,0.02833,False
1184.5923,2.66228,0.02687,False
1192.5963,2.65523,0.02684,False
1200.6003,2.83925,0.02867,False
1208.6043,2.88571,0.02903,False
1216.6083,2.89416,0.02884,False
1224.61231,3.15471,0.03125,False
1232.61631,3.17039,0.0321,False
1240.62031,3.05822,0.03095,False
1248.62431,3.17952,0.03185,False
1256.62831,3.10666,0.03117,False
1440.72036,3.50977,0.03508,False
1448.72436,3.34967,0.03359,False
1456.72836,3.15733,0.03151,False
1464.73237,2.9697,0.02964,False
1472.73637,2.75647,0.02798,False
1480.74037,2.82986,0.02794,False
1488.74437,2.688,0.02696,False
1496.74837,2.79883,0.02762,False
1504.75238,2.76307,0.02746,False
1512.75638,2.77934,0.02761,False
1520.76038,2.71311,0.02725,False
1528.76438,2.8762,0.02858,False
1536.76838,2.96866,0.02987,False
1544.77239,2.93027,0.02894,False
1552.77639,2.91542,0.02934,False
1560.78039,2.9922,0.02934,False
1568.78439,2.98494,0.02962,False
1576.78839,3.05613,0.03109,False
1584.7924,3.06013,0.03055,False
1592.7964,3.08507,0.03066,False
1600.8004,3.0967,0.03062,False
1608.8044,3.17172,0.03175,False
1616.8084,3.43764,0.03327,False
1800.90045,2.1867,0.02145,False
1808.90445,2.01216,0.02006,False
1816.90845,2.0078,0.02001,False
1824.91246,1.8374,0.01841,False
1832.91646,1.8908,0.01852,False
1840.92046,2.11394,0.02114,False
1848.92446,2.24317,0.02199,False
1856.92846,2.15722,0.02186,False
1864.93247,2.41308,0.02376,False
1872.93647,2.12436,0.0211,False
1880.94047,2.176,0.02191,False
1888.94447,2.21544,0.02211,False
1896.94847,2.04126,0.02008,False
1904.95248,2.20457,0.02237,False
1912.95648,2.20871,0.02244,False
1920.96048,2.53172,0.02474,True
1928.96448,2.16857,0.02171,False
1936.96848,2.19836,0.02187,False
1944.97249,2.2343,0.02216,False
1952.97649,2.17988,0.02205,False
1960.98049,2.20321,0.02222,False
1968.98449,2.19337,0.02214,False
1976.98849,2.38237,0.02359,False
