# time,flux,err
-9.884941999999999496e+01,5.798015999999999615e+00,4.040216999999999836e-01
-9.358383999999999503e+01,5.412177999999999933e+00,3.844962000000000102e-01
-8.831825000000000614e+01,5.125026000000000082e+00,3.843504999999999838e-01
-8.305266000000000304e+01,5.033438000000000301e+00,3.832112999999999770e-01
-7.778708000000000311e+01,5.224103999999999637e+00,3.835088999999999859e-01
-7.252149000000000001e+01,5.725747000000000142e+00,3.845560000000000089e-01
-6.725589999999999691e+01,6.217774999999999608e+00,3.837529000000000079e-01
-6.199031999999999698e+01,6.431867999999999697e+00,3.843072000000000155e-01
-5.672473000000000098e+01,6.338655000000000150e+00,3.849423000000000150e-01
-5.145913999999999788e+01,6.266097000000000250e+00,3.837802000000000158e-01
-4.619355999999999796e+01,6.510735999999999635e+00,3.844750000000000112e-01
-4.092797000000000196e+01,6.826843000000000217e+00,3.851680000000000104e-01
-3.566237999999999886e+01,7.130410999999999611e+00,3.842808999999999808e-01
-3.039679999999999893e+01,7.382704000000000377e+00,3.851781000000000232e-01
-2.513120999999999938e+01,7.735178999999999583e+00,3.857451000000000074e-01
-1.986561999999999983e+01,7.988691000000000209e+00,3.849184999999999968e-01
-1.460003999999999991e+01,7.821400999999999826e+00,3.855518000000000001e-01
-9.334448999999999330e+00,7.532028999999999641e+00,3.819446000000000230e-01
-4.068863000000000341e+00,7.164111000000000118e+00,3.388432000000000111e-01
1.196723999999999899e+00,6.749741000000000213e+00,2.235955000000000026e-01
6.462310999999999694e+00,6.482968999999999760e+00,2.471581999999999946e-01
1.172789999999999999e+01,5.903039999999999843e+00,3.003640000000000199e-01
1.699348000000000170e+01,5.816741000000000383e+00,2.062016999999999878e-01
2.225907000000000124e+01,5.996860999999999997e+00,2.557601999999999931e-01
2.752466000000000079e+01,5.664983999999999575e+00,2.987732000000000165e-01
3.279023999999999717e+01,5.743290000000000006e+00,1.872909000000000102e-01
3.805583000000000027e+01,5.725522999999999918e+00,2.630196000000000200e-01
4.332142000000000337e+01,6.113058999999999799e+00,2.967484000000000233e-01
4.858700999999999937e+01,6.344890999999999615e+00,1.666414999999999980e-01
5.385258999999999929e+01,6.314735999999999905e+00,2.712022000000000044e-01
5.911818000000000239e+01,5.832948000000000022e+00,2.937685999999999908e-01
6.438376999999999839e+01,5.394238999999999784e+00,1.369188000000000072e-01
6.964934999999999832e+01,5.390833999999999904e+00,2.773511000000000171e-01
7.491494000000000142e+01,5.382323000000000413e+00,2.898311000000000082e-01
8.018053000000000452e+01,5.497879000000000183e+00,1.004613000000000034e-01
8.544611000000000445e+01,5.184673000000000087e+00,3.062097999999999764e-01
