# lags,weights,weighted_lags
9.834899310971046305e+01,1.034080886690426082e+00,1.017008139999999941e+02
1.008179523637677448e+02,1.007601747687425719e+00,1.015843449999999990e+02
9.834899310971046305e+01,1.034080886690426082e+00,1.017008139999999941e+02
9.914857626564780446e+01,1.007578573113737441e+00,9.989998099999999681e+01
9.929429312230709570e+01,1.015987453334679769e+00,1.008817559999999958e+02
9.835902521863651771e+01,1.033975415819089472e+00,1.017008139999999941e+02
9.896285437709968846e+01,1.009485706822109918e+00,9.990158700000000636e+01
9.834899310971046305e+01,1.034080886690426082e+00,1.017008139999999941e+02
1.009193322817579741e+02,1.006212216272811766e+00,1.015462650000000053e+02
9.506420667107524025e+01,1.045119256543796782e+00,9.935343299999999545e+01
9.598379193264112530e+01,1.035132046770201875e+00,9.935589899999999375e+01
9.835902521863651771e+01,1.033975415819089472e+00,1.017008139999999941e+02
9.895820323224673132e+01,1.009533153765324931e+00,9.990158700000000636e+01
9.523440599052594280e+01,1.056704391163118872e+00,1.006346149999999966e+02
9.775419419459487358e+01,1.023011777898011898e+00,1.000036920000000009e+02
9.835902521863651771e+01,1.033975415819089472e+00,1.017008139999999941e+02
1.006499165919992578e+02,1.008864055115090697e+00,1.015420830000000194e+02
9.710835146783513494e+01,1.038255602901418273e+00,1.008232900000000001e+02
9.929727129698906651e+01,1.014974003651760048e+00,1.007841489999999993e+02
9.708444240632640287e+01,1.025940753546620732e+00,9.960288599999999803e+01
9.929431477611781531e+01,1.015987453334679769e+00,1.008817779999999971e+02
1.017395758604452709e+02,1.006020048092149066e+00,1.023520529999999980e+02
9.834899310971046305e+01,1.034080886690426082e+00,1.017008139999999941e+02
9.598379193264112530e+01,1.035132046770201875e+00,9.935589899999999375e+01
9.896285437709968846e+01,1.009485706822109918e+00,9.990158700000000636e+01
9.835902521863651771e+01,1.033975415819089472e+00,1.017008139999999941e+02
9.896285437709968846e+01,1.009485706822109918e+00,9.990158700000000636e+01
9.834899310971046305e+01,1.034080886690426082e+00,1.017008139999999941e+02
9.896126346799700002e+01,1.009485706822109918e+00,9.989998099999999681e+01
9.923129878692697048e+01,1.015403428472251290e+00,1.007598009999999960e+02
9.523440599052594280e+01,1.056704391163118872e+00,1.006346149999999966e+02
9.820208716855982800e+01,1.023793657536316015e+00,1.005386740000000003e+02
9.835902521863651771e+01,1.033975415819089472e+00,1.017008139999999941e+02
9.884703669910906854e+01,1.010668506979131687e+00,9.990158700000000636e+01
9.834899310971046305e+01,1.034080886690426082e+00,1.017008139999999941e+02
9.708444240632640287e+01,1.025940753546620732e+00,9.960288599999999803e+01
9.835902521863651771e+01,1.033975415819089472e+00,1.017008139999999941e+02
9.900846320290898461e+01,1.010826183564674574e+00,1.000803470000000033e+02
1.037768966703971500e+02,9.862701264336073415e-01,1.023520529999999980e+02
9.764781757755866920e+01,1.020077903132695196e+00,9.960838099999999429e+01
9.896285437709968846e+01,1.009485706822109918e+00,9.990158700000000636e+01
9.896285437709968846e+01,1.009485706822109918e+00,9.990158700000000636e+01
1.014697780461634693e+02,1.004008010677341911e+00,1.018764699999999976e+02
9.710747749660480110e+01,1.038264947243893843e+00,1.008232900000000001e+02
9.808762535088210655e+01,1.023011777898011898e+00,1.003447960000000023e+02
9.917089785655898027e+01,1.007601747687425719e+00,9.992476999999999521e+01
9.832667392278416685e+01,1.026375844658921954e+00,1.009201230000000038e+02
9.671913733840260363e+01,1.035765741473625656e+00,1.001783690000000036e+02
9.834899310971046305e+01,1.034080886690426082e+00,1.017008139999999941e+02
9.598379193264112530e+01,1.035132046770201875e+00,9.935589899999999375e+01
9.915430039198624002e+01,9.886647337781319100e-01,9.803036000000000172e+01
9.897846755095409321e+01,9.942386605383587428e-01,9.840821900000000255e+01
9.506656621041446442e+01,1.045119256543796782e+00,9.935589899999999375e+01
1.022069358344863019e+02,1.002473052963088751e+00,1.024596990000000005e+02
9.929431477611781531e+01,1.015987453334679769e+00,1.008817779999999971e+02
9.708444240632640287e+01,1.025940753546620732e+00,9.960288599999999803e+01
1.008081581908354565e+02,1.007761969102572985e+00,1.015906279999999953e+02
9.896285437709968846e+01,1.009485706822109918e+00,9.990158700000000636e+01
9.834899310971046305e+01,1.034080886690426082e+00,1.017008139999999941e+02
9.708444240632640287e+01,1.025940753546620732e+00,9.960288599999999803e+01
9.652657346959837525e+01,1.029311363997529094e+00,9.935589899999999375e+01
9.924032921371708937e+01,1.015989485311618479e+00,1.008271309999999943e+02
9.523440599052594280e+01,1.056704391163118872e+00,1.006346149999999966e+02
1.041985573244770080e+02,9.657966250590321877e-01,1.006346149999999966e+02
9.895820323224673132e+01,1.009533153765324931e+00,9.990158700000000636e+01
9.870622162632514573e+01,1.021826794078198875e+00,1.008606620000000049e+02
1.002735294542766269e+02,1.011822337880945222e+00,1.014589969999999965e+02
9.523440599052594280e+01,1.056704391163118872e+00,1.006346149999999966e+02
1.002442018887926594e+02,1.021071943029191020e+00,1.023565420000000046e+02
9.835902521863651771e+01,1.033975415819089472e+00,1.017008139999999941e+02
9.659965213010642060e+01,1.031089489492660105e+00,9.960288599999999803e+01
9.597244024923664085e+01,1.057699217987815965e+00,1.015099749999999972e+02
9.835902521863651771e+01,1.033975415819089472e+00,1.017008139999999941e+02
9.896285437709968846e+01,1.009485706822109918e+00,9.990158700000000636e+01
9.599271884038563485e+01,1.035035783966141931e+00,9.935589899999999375e+01
9.896285437709968846e+01,1.009485706822109918e+00,9.990158700000000636e+01
9.929431477611781531e+01,1.015987453334679769e+00,1.008817779999999971e+02
9.895820323224673132e+01,1.009533153765324931e+00,9.990158700000000636e+01
9.652657346959837525e+01,1.029311363997529094e+00,9.935589899999999375e+01
9.835902521863651771e+01,1.033975415819089472e+00,1.017008139999999941e+02
9.896285437709968846e+01,1.009485706822109918e+00,9.990158700000000636e+01
9.719539954246413060e+01,1.037325742520877947e+00,1.008232900000000001e+02
9.652638305102645688e+01,1.029311363997529094e+00,9.935570300000000543e+01
9.850784011142363283e+01,1.022376684800753610e+00,1.007121190000000013e+02
9.896285437709968846e+01,1.009485706822109918e+00,9.990158700000000636e+01
9.523440599052594280e+01,1.056704391163118872e+00,1.006346149999999966e+02
9.835902521863651771e+01,1.033975415819089472e+00,1.017008139999999941e+02
1.008241879623208632e+02,1.007601747687425719e+00,1.015906279999999953e+02
9.834899310971046305e+01,1.034080886690426082e+00,1.017008139999999941e+02
1.023919228502630716e+02,9.998040192067452203e-01,1.023718559999999940e+02
9.834899310971046305e+01,1.034080886690426082e+00,1.017008139999999941e+02
9.835902521863651771e+01,1.033975415819089472e+00,1.017008139999999941e+02
1.007599870934053428e+02,1.007761969102572985e+00,1.015420830000000052e+02
1.017725453002722844e+02,1.002946331929136736e+00,1.020724009999999993e+02
9.835902521863651771e+01,1.033975415819089472e+00,1.017008139999999941e+02
9.915430039198624002e+01,9.886647337781319100e-01,9.803036000000000172e+01
9.523440599052594280e+01,1.056704391163118872e+00,1.006346149999999966e+02
9.652638305102645688e+01,1.029311363997529094e+00,9.935570300000000543e+01
9.834899310971046305e+01,1.034080886690426082e+00,1.017008139999999941e+02
9.710747749660480110e+01,1.038264947243893843e+00,1.008232900000000001e+02
9.834899310971046305e+01,1.034080886690426082e+00,1.017008139999999941e+02
9.885305984043550609e+01,9.942217586247962258e-01,9.828186300000000131e+01
9.896285437709968846e+01,1.009485706822109918e+00,9.990158700000000636e+01
1.008491954617372812e+02,1.007351893437206769e+00,1.015906279999999953e+02
1.021912940205571516e+02,9.978113984884841026e-01,1.019676379999999938e+02
1.002729278149048184e+02,1.011828408833185478e+00,1.014589969999999965e+02
9.940868693113070265e+01,9.886647337781319100e-01,9.828186300000000131e+01
1.047641127788693467e+02,9.601065606531596908e-01,1.005847119999999961e+02
