# lags,weights,weighted_lags
2.562546232210069093e+02,9.789272007929797903e-01,2.508546210000000087e+02
2.599094464216194069e+02,9.594155327293945046e-01,2.493611600000000124e+02
2.504967472270214444e+02,9.974841700181826809e-01,2.498665399999999863e+02
2.599205662164263799e+02,9.593589288827933936e-01,2.493571159999999907e+02
2.554781186881234589e+02,9.805123870737392222e-01,2.504994599999999991e+02
2.550912405383792532e+02,9.767505323747603940e-01,2.491605050000000006e+02
2.583358742795359149e+02,9.661086277546491186e-01,2.495805169999999862e+02
2.646722584916304299e+02,9.446195737507038226e-01,2.500145960000000400e+02
2.608803579854379109e+02,9.561447167821023330e-01,2.494393760000000100e+02
2.559850904859821696e+02,9.787206689434888585e-01,2.505378990000000101e+02
2.574621049221401563e+02,9.681938049694085446e-01,2.492732149999999649e+02
2.545632304687285341e+02,9.798909392401139451e-01,2.494442029999999875e+02
2.556638300654125544e+02,9.790495743412662710e-01,2.503075640000000135e+02
2.544610949580470844e+02,9.829696836022749906e-01,2.501275420000000054e+02
2.491087941613786256e+02,1.002356772833322918e+00,2.496958869999999990e+02
2.491095962709884759e+02,1.002356772833322918e+00,2.496966909999999871e+02
2.544610949580470844e+02,9.829696836022749906e-01,2.501275420000000054e+02
2.556957900416276175e+02,9.789272007929797903e-01,2.503075640000000135e+02
2.504985444665346108e+02,9.959083935249311015e-01,2.494736029999999971e+02
2.554781186881234589e+02,9.805123870737392222e-01,2.504994599999999991e+02
2.558391832852531138e+02,9.720160133669962788e-01,2.486797829999999863e+02
2.562546232210069093e+02,9.789272007929797903e-01,2.508546210000000087e+02
2.524492879234025224e+02,9.890078599697041950e-01,2.496743299999999977e+02
2.583243652217751674e+02,9.661086277546491186e-01,2.495693980000000067e+02
2.565184574235839818e+02,9.720150413514689891e-01,2.493397989999999993e+02
2.541662194395200345e+02,9.845496012484283854e-01,2.502392499999999984e+02
2.608803579854379109e+02,9.561447167821023330e-01,2.494393760000000100e+02
2.520471750635105934e+02,9.935697630290750704e-01,2.504264520000000118e+02
2.586563452251724584e+02,9.689192537759939716e-01,2.506171129999999607e+02
2.599205662164263799e+02,9.593589288827933936e-01,2.493571159999999907e+02
2.565184574235839818e+02,9.720150413514689891e-01,2.493397989999999993e+02
2.551514344218374788e+02,9.777395042488877808e-01,2.494716369999999870e+02
2.586752345762020013e+02,9.690539429129468862e-01,2.506702559999999949e+02
2.587334240543257238e+02,9.684678425907093935e-01,2.505750009999999861e+02
