# tau,tf,errlo,errhi
-5.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-4.998999899989998994e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-4.997999799979997988e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-4.996999699969996982e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-4.995999599959995976e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-4.994999499949994970e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-4.993999399939993964e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-4.992999299929992958e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-4.991999199919991952e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-4.990999099909990946e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-4.989998999899989940e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-4.988998899889988934e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-4.987998799879987928e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-4.986998699869986922e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-4.985998599859985916e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-4.984998499849984910e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-4.983998399839983904e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-4.982998299829982898e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-4.981998199819981892e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-4.980998099809980886e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-4.979997999799979880e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-4.978997899789978874e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-4.977997799779977868e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-4.976997699769976862e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-4.975997599759975856e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-4.974997499749974850e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-4.973997399739973844e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-4.972997299729972838e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-4.971997199719971832e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-4.970997099709970826e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-4.969996999699969820e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-4.968996899689968814e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-4.967996799679967808e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-4.966996699669966802e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-4.965996599659965796e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-4.964996499649964790e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-4.963996399639963784e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-4.962996299629962778e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-4.961996199619961772e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-4.960996099609960766e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-4.959995999599959760e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-4.958995899589958753e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-4.957995799579957747e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-4.956995699569956741e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-4.955995599559955735e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-4.954995499549954729e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-4.953995399539953723e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-4.952995299529952717e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-4.951995199519951711e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-4.950995099509951274e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-4.949994999499950268e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-4.948994899489949262e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-4.947994799479948256e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-4.946994699469947250e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-4.945994599459946244e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-4.944994499449945238e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-4.943994399439944232e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-4.942994299429943226e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-4.941994199419942220e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-4.940994099409941214e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-4.939993999399940208e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-4.938993899389939202e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-4.937993799379938196e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-4.936993699369937190e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-4.935993599359936184e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
