# time,flux,err
5.474873000000000320e+04,2.922629999999999839e+00,6.449983000000000244e-01
5.475772000000000116e+04,2.920307999999999904e+00,6.313265999999999600e-01
5.476669999999999709e+04,2.917980000000000018e+00,6.173157999999999701e-01
5.477569000000000233e+04,2.915645000000000042e+00,6.029421999999999837e-01
5.478468000000000029e+04,2.913302999999999976e+00,5.881790999999999547e-01
5.479366000000000349e+04,2.910954999999999959e+00,5.729963000000000140e-01
5.480265000000000146e+04,2.908599999999999852e+00,5.573593999999999493e-01
5.481163999999999942e+04,2.906238000000000099e+00,5.412287999999999544e-01
5.482062000000000262e+04,2.903869999999999951e+00,5.245589000000000501e-01
5.482961000000000058e+04,2.901495000000000157e+00,5.072963999999999807e-01
5.483859999999999854e+04,2.899112999999999829e+00,4.893784999999999941e-01
5.484758000000000175e+04,2.896723999999999855e+00,4.708839000000000219e-01
5.485656999999999971e+04,2.894327999999999790e+00,4.517825999999999786e-01
5.486555999999999767e+04,2.891926000000000219e+00,4.317124999999999990e-01
5.487454000000000087e+04,2.889517000000000113e+00,4.105308999999999764e-01
5.488352999999999884e+04,2.887100000000000222e+00,3.880546000000000273e-01
5.489251999999999680e+04,2.884676999999999936e+00,3.640431000000000084e-01
5.490150000000000000e+04,2.882247000000000003e+00,3.381681999999999744e-01
5.491048999999999796e+04,2.879809999999999981e+00,3.099624999999999742e-01
5.491948000000000320e+04,2.877365000000000173e+00,2.787180000000000213e-01
5.492845999999999913e+04,2.874913999999999970e+00,2.432649000000000061e-01
5.493744999999999709e+04,2.872454999999999981e+00,2.013909000000000116e-01
5.494643000000000029e+04,2.869990000000000041e+00,1.477305999999999897e-01
5.495541999999999825e+04,2.855140000000000011e+00,1.158076999999999995e-01
5.496441000000000349e+04,2.813762000000000096e+00,1.500570999999999988e-01
5.497338999999999942e+04,2.772375999999999951e+00,1.559888000000000108e-01
5.498237999999999738e+04,2.730983000000000160e+00,1.373233000000000092e-01
5.499137000000000262e+04,2.689581000000000000e+00,7.805375000000000507e-02
5.500034999999999854e+04,2.646628000000000203e+00,1.210439999999999988e-01
5.500933999999999651e+04,2.645553000000000043e+00,1.777102999999999877e-01
5.501833000000000175e+04,2.644468999999999959e+00,2.167405000000000026e-01
5.502730999999999767e+04,2.643377000000000088e+00,2.466560999999999892e-01
5.503630000000000291e+04,2.642275999999999847e+00,2.704999000000000153e-01
5.504529000000000087e+04,2.641166999999999820e+00,2.897760999999999809e-01
5.505426999999999680e+04,2.640048999999999868e+00,3.053521000000000152e-01
5.506326000000000204e+04,2.638923000000000130e+00,3.177734999999999865e-01
5.507225000000000000e+04,2.637788000000000022e+00,3.274003999999999803e-01
5.508123000000000320e+04,2.636643999999999988e+00,3.344747000000000137e-01
5.509022000000000116e+04,2.635492000000000168e+00,3.391566999999999776e-01
5.509920999999999913e+04,2.634332000000000118e+00,3.415449999999999875e-01
5.510819000000000233e+04,2.633162000000000003e+00,3.416879999999999917e-01
5.511718000000000029e+04,2.631984000000000101e+00,3.395885000000000153e-01
5.512616999999999825e+04,2.630797999999999970e+00,3.352041000000000048e-01
5.513515000000000146e+04,2.629602999999999913e+00,3.284431999999999907e-01
5.514413999999999942e+04,2.628398999999999930e+00,3.191543000000000019e-01
5.515312999999999738e+04,2.627187000000000161e+00,3.071073000000000275e-01
5.516211000000000058e+04,2.625966000000000022e+00,2.919602000000000031e-01
5.517109999999999854e+04,2.624735999999999958e+00,2.731968000000000174e-01
5.518008999999999651e+04,2.623496999999999968e+00,2.500027000000000221e-01
5.518906999999999971e+04,2.622250000000000192e+00,2.209852999999999956e-01
5.519805999999999767e+04,2.620995000000000186e+00,1.833985999999999950e-01
5.520705000000000291e+04,2.619730000000000114e+00,1.300076000000000009e-01
5.521602999999999884e+04,2.639243000000000006e+00,7.353756000000000181e-02
5.522501999999999680e+04,2.755717999999999890e+00,6.750209999999999544e-02
5.523400000000000000e+04,2.795326999999999895e+00,5.863196999999999853e-02
5.524298999999999796e+04,2.850998000000000143e+00,3.881555999999999895e-02
5.525198000000000320e+04,2.917629999999999946e+00,8.972488000000000685e-02
5.526095999999999913e+04,2.887637999999999927e+00,8.226031000000000315e-02
5.526994999999999709e+04,2.933189000000000046e+00,7.113199000000000605e-02
5.527894000000000233e+04,3.075327999999999840e+00,6.859764999999999613e-02
5.528791999999999825e+04,3.131733000000000100e+00,9.042137000000000091e-02
5.529691000000000349e+04,3.129464000000000024e+00,1.024981999999999976e-01
5.530590000000000146e+04,3.135170000000000012e+00,6.506884000000000279e-02
5.531487999999999738e+04,3.167034000000000127e+00,1.108057999999999960e-01
5.532387000000000262e+04,3.198892999999999986e+00,7.589808000000000665e-02
