# lags,weights,weighted_lags
1.051426642005774141e+02,6.352180202756667615e-01,6.678851500000000385e+01
1.004797963097617668e+02,6.024051821661531303e-01,6.052955000000000041e+01
1.037176019610666629e+02,6.106013425163140385e-01,6.333010699999999105e+01
1.049197739686345869e+02,6.038188761151832562e-01,6.335253999999999053e+01
1.031177132140031318e+02,6.074162338143692663e-01,6.263537300000000130e+01
9.833228726939621822e+01,6.155586804786796762e-01,6.052929300000000978e+01
1.011976054822869031e+02,6.239949522427472584e-01,6.314679499999999734e+01
1.012940236358471253e+02,6.052134943359565034e-01,6.130451000000000050e+01
1.060827162611952019e+02,6.035387691465079474e-01,6.402503199999999595e+01
9.779862735163361265e+01,6.448058598334369673e-01,6.306112799999999652e+01
1.110041895222313570e+02,6.324728400087932245e-01,7.020713499999999385e+01
1.084002334872995732e+02,6.122840317292882473e-01,6.637173199999999440e+01
9.959871470168592111e+01,6.137368658128404819e-01,6.112740300000000104e+01
1.039277009335644379e+02,6.077455426477289535e-01,6.316159700000000043e+01
1.037893113619121550e+02,6.075207183920015019e-01,6.305415699999999646e+01
9.842111108381881479e+01,6.437041840143978844e-01,6.335408100000000076e+01
1.081797735550638890e+02,6.013194228668727881e-01,6.505059900000000539e+01
1.003494286737190890e+02,6.312905896652193372e-01,6.334964999999999691e+01
1.098210477757679655e+02,6.028173682623294560e-01,6.620203499999999508e+01
9.707283663409751284e+01,6.073245208875636125e-01,5.895471400000000273e+01
1.015004334799264569e+02,6.103620336976405270e-01,6.195201099999999883e+01
1.005904991250480407e+02,6.014607495364796552e-01,6.050123700000000326e+01
1.069089060849564277e+02,6.126515123814971764e-01,6.549790299999999377e+01
1.051978795178122823e+02,6.055258650837558321e-01,6.370003700000000180e+01
9.866010285724924245e+01,6.242589579408146516e-01,6.158945299999999889e+01
9.724968910162354518e+01,6.335755678932176727e-01,6.161502699999999777e+01
1.017699737360921546e+02,6.186608848231547331e-01,6.296110199999999679e+01
1.003790241867830275e+02,6.448058598334369673e-01,6.472498299999999460e+01
9.797288345509558383e+01,6.437041840143978844e-01,6.306555500000000336e+01
1.024449933883070969e+02,6.086700182960539385e-01,6.235519599999999940e+01
1.101793958701878324e+02,6.008932384962724083e-01,6.620605399999999463e+01
9.992801190600791017e+01,6.248697818458833764e-01,6.244199499999999858e+01
1.068504321270843036e+02,6.153894251152270956e-01,6.575462600000000180e+01
1.045049873173210244e+02,6.057560086369934149e-01,6.330452400000000068e+01
1.078226150854874561e+02,6.156750320641686258e-01,6.638369199999999637e+01
1.013568887089600992e+02,6.248229183696473177e-01,6.333010699999999815e+01
1.058869233726141914e+02,6.317591811086773479e-01,6.689503600000000461e+01
1.026845062422175943e+02,6.075207183920015019e-01,6.238296499999999156e+01
1.011073372995561357e+02,6.258434619094433993e-01,6.327736600000000067e+01
1.066965149550720184e+02,6.153894251152270956e-01,6.565990700000000402e+01
1.045567929205383280e+02,6.052134943359565034e-01,6.327918199999999160e+01
1.035220432235902734e+02,6.057554028812877078e-01,6.270903700000000924e+01
1.066965149550720184e+02,6.153894251152270956e-01,6.565990700000000402e+01
9.321411666906797677e+01,6.509893476267464285e-01,6.068139699999999692e+01
