# tau,tf,errlo,errhi
-5.000000000000000000e+02,4.849219283967240421e-243,4.849219283967240421e-243,6.025244953101386903e-151
-4.998999899989998994e+02,5.900293920444250726e-243,5.900293920444250726e-243,6.808541602142871681e-151
-4.997999799979997988e+02,7.178941662115200614e-243,7.178941662115200614e-243,7.693501307331900275e-151
-4.996999699969996982e+02,8.734381497160898157e-243,8.734381497160898157e-243,8.693296994757404440e-151
-4.995999599959995976e+02,1.062646570004099263e-242,1.062646570004099263e-242,9.822805632878633817e-151
-4.994999499949994970e+02,1.292797452198742382e-242,1.292797452198742382e-242,1.109882829924602297e-150
-4.993999399939993964e+02,1.572740553511677224e-242,1.572740553511677224e-242,1.254033861993756092e-150
-4.992999299929992958e+02,1.913236414192163612e-242,1.913236414192163612e-242,1.416876323360450774e-150
-4.991999199919991952e+02,2.327368467114295483e-242,2.327368467114295483e-242,1.600829840124932498e-150
-4.990999099909990946e+02,2.831043931235849862e-242,2.831043931235849862e-242,1.808626741228938372e-150
-4.989998999899989940e+02,3.443602595116438855e-242,3.443602595116438855e-242,2.043352403483677157e-150
-4.988998899889988934e+02,4.188556703755980739e-242,4.188556703755980739e-242,2.308490793199815399e-150
-4.987998799879987928e+02,5.094490150941424750e-242,5.094490150941424750e-242,2.607975872637320645e-150
-4.986998699869986922e+02,6.196151239249308403e-242,6.196151239249308403e-242,2.946249625272648895e-150
-4.985998599859985916e+02,7.535780630471490978e-242,7.535780630471490978e-242,3.328327550645289542e-150
-4.984998499849984910e+02,9.164725049425471117e-242,9.164725049425471117e-242,3.759872588724915488e-150
-4.983998399839983904e+02,1.114539816239107976e-241,1.114539816239107976e-241,4.247278556890676775e-150
-4.982998299829982898e+02,1.355366323892039021e-241,1.355366323892039021e-241,4.797764321542335807e-150
-4.981998199819981892e+02,1.648172822154469362e-241,1.648172822154469362e-241,5.419480083086076279e-150
-4.980998099809980886e+02,2.004166327778685053e-241,2.004166327778685053e-241,6.121627329816562253e-150
-4.979997999799979880e+02,2.436967452862489172e-241,2.436967452862489172e-241,6.914594215629981861e-150
-4.978997899789978874e+02,2.963129632961972750e-241,2.963129632961972750e-241,7.810108341438597397e-150
-4.977997799779977868e+02,3.602769930991131733e-241,3.602769930991131733e-241,8.821409173862236104e-150
-4.976997699769976862e+02,4.380335366494529571e-241,4.380335366494529571e-241,9.963442620951996541e-150
-4.975997599759975856e+02,5.325533854934680099e-241,5.325533854934680099e-241,1.125308060746460923e-149
-4.974997499749974850e+02,6.474465076374998498e-241,6.474465076374998498e-241,1.270936885625633600e-149
-4.973997399739973844e+02,7.870994162807341654e-241,7.870994162807341654e-241,1.435380649295854602e-149
-4.972997299729972838e+02,9.568420283731565150e-241,9.568420283731565150e-241,1.621066155417930800e-149
-4.971997199719971832e+02,1.163150336716410575e-240,1.163150336716410575e-240,1.830732700171640465e-149
-4.970997099709970826e+02,1.413892573849296515e-240,1.413892573849296515e-240,2.067472243428604735e-149
-4.969996999699969820e+02,1.718628190295350944e-240,1.718628190295350944e-240,2.334774735250645952e-149
-4.968996899689968814e+02,2.088970965838260068e-240,2.088970965838260068e-240,2.636579258193427086e-149
-4.967996799679967808e+02,2.539029995479805800e-240,2.539029995479805800e-240,2.977331730373454451e-149
-4.966996699669966802e+02,3.085945232841799387e-240,3.085945232841799387e-240,3.362050009514843063e-149
-4.965996599659965796e+02,3.750537843656552552e-240,3.750537843656552552e-240,3.796397345611215194e-149
-4.964996499649964790e+02,4.558099954896484172e-240,4.558099954896484172e-240,4.286765250972910228e-149
-4.963996399639963784e+02,5.539353644007870461e-240,5.539353644007870461e-240,4.840366993011623944e-149
-4.962996299629962778e+02,6.731615395184620896e-240,6.731615395184620896e-240,5.465343069135530125e-149
-4.961996199619961772e+02,8.180209995580696837e-240,8.180209995580696837e-240,6.170880196776107651e-149
-4.960996099609960766e+02,9.940187244599243013e-240,9.940187244599243013e-240,6.967345547385682916e-149
-4.959995999599959760e+02,1.207840625699284329e-239,1.207840625699284329e-239,7.866438174004877057e-149
-4.958995899589958753e+02,1.467606598344403183e-239,1.467606598344403183e-239,8.881359830922471542e-149
-4.957995799579957747e+02,1.783177737006803718e-239,1.783177737006803718e-239,1.002700766459354641e-148
-4.956995699569956741e+02,2.166529296078932342e-239,2.166529296078932342e-239,1.132019157136962179e-148
-4.955995599559955735e+02,2.632203447795146212e-239,2.632203447795146212e-239,1.277987937434304173e-148
-4.954995499549954729e+02,3.197858892368995462e-239,3.197858892368995462e-239,1.442747337371822564e-148
-4.953995399539953723e+02,3.884938015172246176e-239,3.884938015172246176e-239,1.628712227854734895e-148
-4.952995299529952717e+02,4.719476702970637472e-239,4.719476702970637472e-239,1.838607303871403412e-148
-4.951995199519951711e+02,5.733087289972350487e-239,5.733087289972350487e-239,2.075506767226517478e-148
-4.950995099509951274e+02,6.964151605411089836e-239,6.964151605411089836e-239,2.342879083265970734e-148
-4.949994999499950268e+02,8.459268980813148129e-239,8.459268980813148129e-239,2.644637459268852796e-148
-4.948994899489949262e+02,1.027501364179228287e-238,1.027501364179228287e-238,2.985196774709154809e-148
-4.947994799479948256e+02,1.248006751399304180e-238,1.248006751399304180e-238,3.369537786625468292e-148
-4.946994699469947250e+02,1.515780854904930565e-238,1.515780854904930565e-238,3.803279538193773887e-148
-4.945994599459946244e+02,1.840945175024376296e-238,1.840945175024376296e-238,4.292761016794599836e-148
-4.944994499449945238e+02,2.235786078624285386e-238,2.235786078624285386e-238,4.845133241091332278e-148
-4.943994399439944232e+02,2.715217319805124656e-238,2.715217319805124656e-238,5.468463106788439803e-148
-4.942994299429943226e+02,3.297341266620277743e-238,3.297341266620277743e-238,6.171850489977513673e-148
-4.941994199419942220e+02,4.004129874866313558e-238,4.004129874866313558e-238,6.965560297724047498e-148
-4.940994099409941214e+02,4.862250930216363354e-238,4.862250930216363354e-238,7.861171370512400042e-148
-4.939993999399940208e+02,5.904070513099345490e-238,5.904070513099345490e-238,8.871744383451153386e-148
-4.938993899389939202e+02,7.168869229158968290e-238,7.168869229158968290e-238,1.001201116617355449e-147
-4.937993799379938196e+02,8.704317737326689825e-238,8.704317737326689825e-238,1.129858816907569068e-147
-4.936993699369937190e+02,1.056826679486326704e-237,1.056826679486326704e-237,1.275021715030531782e-147
-4.935993599359936184e+02,1.283091878481529373e-237,1.283091878481529373e-237,1.438803654867286297e-147
-4.934993499349935178e+02,1.557746193322047556e-237,1.557746193322047556e-237,1.623588744802855510e-147
-4.933993399339934172e+02,1.891126569062278766e-237,1.891126569062278766e-237,1.832065853484756660e-147
-4.932993299329933166e+02,2.295775668722518605e-237,2.295775668722518605e-237,2.067267500994370914e-147
-4.931993199319932160e+02,2.786912005115595990e-237,2.786912005115595990e-237,2.332613704527719535e-147
-4.930993099309931154e+02,3.383000164785976130e-237,3.383000164785976130e-237,2.631961408677242612e-147
-4.929992999299930148e+02,4.106442409829540305e-237,4.106442409829540305e-237,2.969660210401771329e-147
-4.928992899289929142e+02,4.984417464892396099e-237,4.984417464892396099e-237,3.350615178900593523e-147
-4.927992799279928136e+02,6.049897777575635001e-237,6.049897777575635001e-237,3.780357672164559903e-147
-4.926992699269927130e+02,7.342883184093912915e-237,7.342883184093912915e-237,4.265125166391651122e-147
-4.925992599259926124e+02,8.911896964736226753e-237,8.911896964736226753e-237,4.811951243366216074e-147
-4.924992499249925118e+02,1.081580003400457748e-236,1.081580003400457748e-236,5.428767026138937258e-147
-4.923992399239924111e+02,1.312599083983918038e-236,1.312599083983918038e-236,6.124515516962816319e-147
-4.922992299229923105e+02,1.592907288350454280e-236,1.592907288350454280e-236,6.909280475784188551e-147
-4.921992199219922099e+02,1.933008914710666451e-236,1.933008914710666451e-236,7.794431685248226586e-147
-4.920992099209921093e+02,2.345644377281476933e-236,2.345644377281476933e-236,8.792788682124372129e-147
-4.919991999199920087e+02,2.846265685568638396e-236,2.846265685568638396e-236,9.918805298602445468e-147
-4.918991899189919081e+02,3.453612913436012661e-236,3.453612913436012661e-236,1.118877765378007295e-146
-4.917991799179918075e+02,4.190413083449876930e-236,4.190413083449876930e-236,1.262107857007916604e-146
-4.916991699169917069e+02,5.084227432320634151e-236,5.084227432320634151e-236,1.423642176605246755e-146
-4.915991599159916063e+02,6.168478524702078370e-236,6.168478524702078370e-236,1.605815960132794351e-146
-4.914991499149915057e+02,7.483695348267976791e-236,7.483695348267976791e-236,1.811261862743261114e-146
-4.913991399139914051e+02,9.079022599051771311e-236,9.079022599051771311e-236,2.042947773655142893e-146
-4.912991299129913045e+02,1.101405015053976108e-235,1.101405015053976108e-235,2.304219430666719803e-146
-4.911991199119912039e+02,1.336103055395802627e-235,1.336103055395802627e-235,2.598848442446425531e-146
-4.910991099109911033e+02,1.620756677778550849e-235,1.620756677778550849e-235,2.931086403658765120e-146
-4.909990999099910027e+02,1.965986979122184450e-235,1.965986979122184450e-235,3.305725874619476575e-146
-4.908990899089909021e+02,2.384670667028062549e-235,2.384670667028062549e-235,3.728169094739659293e-146
-4.907990799079908015e+02,2.892418543271783514e-235,2.892418543271783514e-235,4.204505408907122498e-146
-4.906990699069907009e+02,3.508155372934018805e-235,3.508155372934018805e-235,4.741598509698160454e-146
-4.905990599059906003e+02,4.254822597267728448e-235,4.254822597267728448e-235,5.347184737682285226e-146
-4.904990499049904997e+02,5.160229884776356719e-235,5.160229884776356719e-235,6.029983839020112282e-146
-4.903990399039903991e+02,6.258087009297161868e-235,6.258087009297161868e-235,6.799823756291153405e-146
-4.902990299029902985e+02,7.589254198154690659e-235,7.589254198154690659e-235,7.667781227514982914e-146
-4.901990199019901979e+02,9.203257152306266203e-235,9.203257152306266203e-235,8.646340192423708238e-146
-4.900990099009900973e+02,1.116012270001006170e-234,1.116012270001006170e-234,9.749570257422847765e-146
-4.899989998999899967e+02,1.353260286434181607e-234,1.353260286434181607e-234,1.099332775481632537e-145
-4.898989898989898961e+02,1.640886943693414655e-234,1.640886943693414655e-234,1.239548225183587034e-145
-4.897989798979897955e+02,1.989577848090806103e-234,1.989577848090806103e-234,1.397617172529448340e-145
-4.896989698969896949e+02,2.412282517104487022e-234,2.412282517104487022e-234,1.575809002329722935e-145
-4.895989598959895943e+02,2.924693478855872604e-234,2.924693478855872604e-234,1.776681069215610507e-145
-4.894989498949894937e+02,3.545826645291946885e-234,3.545826645291946885e-234,2.003115176090666449e-145
-4.893989398939893931e+02,4.298724342200437446e-234,4.298724342200437446e-234,2.258358665468520276e-145
-4.892989298929892925e+02,5.211306888862346837e-234,5.211306888862346837e-234,2.546070706008088227e-145
-4.891989198919891919e+02,6.317404079858138311e-234,6.317404079858138311e-234,2.870374429931702530e-145
-4.890989098909890913e+02,7.658004531127287710e-234,7.658004531127287710e-234,3.235915659625318333e-145
-4.889988998899889907e+02,9.282768853774735337e-234,9.282768853774735337e-234,3.647929054716833130e-145
-4.888988898889888901e+02,1.125186230504693500e-233,1.125186230504693500e-233,4.112312615622643305e-145
-4.887988798879887895e+02,1.363817429060500305e-233,1.363817429060500305e-233,4.635711597410274412e-145
-4.886988698869886889e+02,1.653000628434564101e-233,1.653000628434564101e-233,5.225613020491627119e-145
-4.885988598859885883e+02,2.003432691022332917e-233,2.003432691022332917e-233,5.890452114001384868e-145
-4.884988498849884877e+02,2.428071372234614957e-233,2.428071372234614957e-233,6.639732195831158948e-145
-4.883988398839883871e+02,2.942612638442528384e-233,2.942612638442528384e-233,7.484159682492818428e-145
-4.882988298829882865e+02,3.566068640589068111e-233,3.566068640589068111e-233,8.435796134999431655e-145
-4.881988198819881859e+02,4.321467545146965277e-233,4.321467545146965277e-233,9.508229486659819500e-145
-4.880988098809880853e+02,5.236700884763355567e-233,5.236700884763355567e-233,1.071676686852579701e-144
-4.879987998799879847e+02,6.345549489068318993e-233,6.345549489068318993e-233,1.207865175194458826e-144
-4.878987898789878841e+02,7.688925588377795969e-233,7.688925588377795969e-233,1.361330846943677447e-144
-4.877987798779877835e+02,9.316376587538045490e-233,9.316376587538045490e-233,1.534261755988813402e-144
-4.876987698769876829e+02,1.128790557179520587e-232,1.128790557179520587e-232,1.729122581693085926e-144
-4.875987598759875823e+02,1.367617517956384113e-232,1.367617517956384113e-232,1.948689540670877947e-144
-4.874987498749874817e+02,1.656917547967741241e-232,1.656917547967741241e-232,2.196089696954960916e-144
-4.873987398739873811e+02,2.007345343240307937e-232,2.007345343240307937e-232,2.474845223718755734e-144
-4.872987298729872805e+02,2.431802201066783421e-232,2.431802201066783421e-232,2.788923239164931806e-144
-4.871987198719871799e+02,2.945909185546209606e-232,2.945909185546209606e-232,3.142791917340632022e-144
-4.870987098709870793e+02,3.568579833893755514e-232,3.568579833893755514e-232,3.541483662581771818e-144
-4.869986998699869787e+02,4.322713319971510292e-232,4.322713319971510292e-232,3.990666235243210436e-144
-4.868986898689868781e+02,5.236033381594579947e-232,5.236033381594579947e-232,4.496722827732029423e-144
-4.867986798679867775e+02,6.342103628600377921e-232,6.342103628600377921e-232,5.066842215148277481e-144
-4.866986698669866769e+02,7.681556272187026866e-232,7.681556272187026866e-232,5.709120245825047603e-144
-4.865986598659865763e+02,9.303579085647108400e-232,9.303579085647108400e-232,6.432674095691735848e-144
-4.864986498649864757e+02,1.126771480414424416e-231,1.126771480414424416e-231,7.247770888860600548e-144
-4.863986398639863751e+02,1.364603853714790752e-231,1.364603853714790752e-231,8.165972487659594075e-144
-4.862986298629862745e+02,1.652579251365438579e-231,1.652579251365438579e-231,9.200298481264296345e-144
-4.861986198619861739e+02,2.001257410509639700e-231,2.001257410509639700e-231,1.036540965627851603e-143
-4.860986098609860733e+02,2.423419317601828071e-231,2.423419317601828071e-231,1.167781451860088149e-143
-4.859985998599859727e+02,2.934533912596523213e-231,2.934533912596523213e-231,1.315610175764331964e-143
-4.858985898589858721e+02,3.553322738718385904e-231,3.553322738718385904e-231,1.482120190592477358e-143
-4.857985798579858283e+02,4.302443069536485329e-231,4.302443069536485329e-231,1.669668185425480933e-143
-4.856985698569857277e+02,5.209314344000244892e-231,5.209314344000244892e-231,1.880907634078806766e-143
-4.855985598559856271e+02,6.307117938114260038e-231,6.307117938114260038e-231,2.118826104751767473e-143
-4.854985498549855265e+02,7.636006586814758204e-231,7.636006586814758204e-231,2.386787251742712858e-143
-4.853985398539854259e+02,9.244567368363660292e-231,9.244567368363660292e-231,2.688578075756858227e-143
-4.852985298529853253e+02,1.119159135055302178e-230,1.119159135055302178e-230,3.028462112675979302e-143
-4.851985198519852247e+02,1.354821410479340438e-230,1.354821410479340438e-230,3.411239293159267022e-143
-4.850985098509851241e+02,1.640050472139023237e-230,1.640050472139023237e-230,3.842313308242189917e-143
-4.849984998499850235e+02,1.985259719131842461e-230,1.985259719131842461e-230,4.327767420470353715e-143
-4.848984898489849229e+02,2.403047764168424552e-230,2.403047764168424552e-230,4.874449777505964867e-143
-4.847984798479848223e+02,2.908656463107147495e-230,2.908656463107147495e-230,5.490069417175626717e-143
-4.846984698469847217e+02,3.520524838125530576e-230,3.520524838125530576e-230,6.183304301437448578e-143
-4.845984598459846211e+02,4.260958947640948465e-230,4.260958947640948465e-230,6.963922883760297753e-143
-4.844984498449845205e+02,5.156941944639999635e-230,5.156941944639999635e-230,7.842920902237019771e-143
-4.843984398439844199e+02,6.241113627562000454e-230,6.241113627562000454e-230,8.832675302022686171e-143
-4.842984298429843193e+02,7.552954906261565919e-230,7.552954906261565919e-230,9.947117428228133650e-143
-4.841984198419842187e+02,9.140219999980192788e-230,9.140219999980192788e-230,1.120192789758425406e-142
-4.840984098409841181e+02,1.106066812040722378e-229,1.106066812040722378e-229,1.261475585762532553e-142
-4.839983998399840175e+02,1.338415719187710699e-229,1.338415719187710699e-229,1.420546568000115362e-142
-4.838983898389839169e+02,1.619517521047615887e-229,1.619517521047615887e-229,1.599641451442165673e-142
-4.837983798379838163e+02,1.959590061282109450e-229,1.959590061282109450e-229,1.801276455699393592e-142
-4.836983698369837157e+02,2.370990207943504765e-229,2.370990207943504765e-229,2.028283436702617828e-142
-4.835983598359836151e+02,2.868661122076227576e-229,2.868661122076227576e-229,2.283849410659740710e-142
-4.834983498349835145e+02,3.470672941145100553e-229,3.470672941145100553e-229,2.571561018446476563e-142
-4.833983398339834139e+02,4.198876364812311132e-229,4.198876364812311132e-229,2.895454546883644493e-142
-4.832983298329833133e+02,5.079692691159581335e-229,5.079692691159581335e-229,3.260072200130630347e-142
-4.831983198319832127e+02,6.145068757167928314e-229,6.145068757167928314e-229,3.670525400753073868e-142
-4.830983098309831121e+02,7.433631163724528791e-229,7.433631163724528791e-229,4.132565997083218726e-142
-4.829982998299830115e+02,8.992081324886203288e-229,8.992081324886203288e-229,4.652666362607753332e-142
-4.828982898289829109e+02,1.087688152966415943e-228,1.087688152966415943e-228,5.238109495803245862e-142
-4.827982798279828103e+02,1.315629265173375898e-228,1.315629265173375898e-228,5.897090366753282093e-142
-4.826982698269827097e+02,1.591283676160235222e-228,1.591283676160235222e-228,6.638829911939339566e-142
-4.825982598259826091e+02,1.924627313817076223e-228,1.924627313817076223e-228,7.473703252894864165e-142
-4.824982498249825085e+02,2.327719458674789417e-228,2.327719458674789417e-228,8.413383910366749298e-142
-4.823982398239824079e+02,2.815137320609635256e-228,2.815137320609635256e-228,9.471006005894105931e-142
-4.822982298229823073e+02,3.404501160203026881e-228,3.404501160203026881e-228,1.066134669031396252e-141
-4.821982198219822067e+02,4.117108797763852878e-228,4.117108797763852878e-228,1.200103131705417647e-141
-4.820982098209821061e+02,4.978702269801619733e-228,4.978702269801619733e-228,1.350876419091174556e-141
-4.819981998199820055e+02,6.020394122686479315e-228,6.020394122686479315e-228,1.520558807468601813e-141
-4.818981898189819049e+02,7.279786545023695445e-228,7.279786545023695445e-228,1.711517603132271079e-141
-4.817981798179818043e+02,8.802323437442162877e-228,8.802323437442162877e-228,1.926415962349545982e-141
-4.816981698169817037e+02,1.064292384678565198e-227,1.064292384678565198e-227,2.168249799187943948e-141
-4.815981598159816031e+02,1.286795524765679876e-227,1.286795524765679876e-227,2.440389289468054249e-141
-4.814981498149815025e+02,1.555761729596271818e-227,1.555761729596271818e-227,2.746625542169922022e-141
-4.813981398139814019e+02,1.880882133850514101e-227,1.880882133850514101e-227,3.091223080514908029e-141
-4.812981298129813013e+02,2.273866866135976521e-227,2.273866866135976521e-227,3.478978854623395785e-141
-4.811981198119812007e+02,2.748865182698460654e-227,2.748865182698460654e-227,3.915288597181708816e-141
-4.810981098109811001e+02,3.322972924553054090e-227,3.322972924553054090e-227,4.406221434182262653e-141
-4.809980998099809995e+02,4.016845426573262140e-227,4.016845426573262140e-227,4.958603775879514878e-141
-4.808980898089808989e+02,4.855437766187851411e-227,4.855437766187851411e-227,5.580113640185304303e-141
-4.807980798079807983e+02,5.868898776976106967e-227,5.868898776976106967e-227,6.279386703521518665e-141
-4.806980698069806976e+02,7.093650729704720679e-227,7.093650729704720679e-227,7.066135534622756827e-141
-4.805980598059805970e+02,8.573693194567432574e-227,8.573693194567432574e-227,7.951283647086988010e-141
-4.804980498049804964e+02,1.036217757802218060e-226,1.036217757802218060e-226,8.947116209093887219e-141
-4.803980398039803958e+02,1.252330845856603397e-226,1.252330845856603397e-226,1.006744947636496620e-140
-4.802980298029802952e+02,1.513463946947861042e-226,1.513463946947861042e-226,1.132782127024693289e-140
-4.801980198019801946e+02,1.828984550457725393e-226,1.828984550457725393e-226,1.274570511021980611e-140
-4.800980098009800940e+02,2.210206995248184914e-226,2.210206995248184914e-226,1.434075093306214864e-140
-4.799979997999799934e+02,2.670796609466729584e-226,2.670796609466729584e-226,1.613505569373401473e-140
-4.798979897989798928e+02,3.227257645622292958e-226,3.227257645622292958e-226,1.815346755066893039e-140
-4.797979797979797922e+02,3.899522364717799336e-226,3.899522364717799336e-226,2.042392779616419177e-140
-4.796979697969796916e+02,4.711662212908445136e-226,4.711662212908445136e-226,2.297785520706193996e-140
-4.795979597959795910e+02,5.692746365482096752e-226,5.692746365482096752e-226,2.585057806897074361e-140
-4.794979497949794904e+02,6.877878138969425302e-226,6.877878138969425302e-226,2.908181977661216715e-140
-4.793979397939793898e+02,8.309446077514267797e-226,8.309446077514267797e-226,3.271624464241629820e-140
-4.792979297929792892e+02,1.003863412688161153e-225,1.003863412688161153e-225,3.680407136497067835e-140
-4.791979197919791886e+02,1.212724448711405130e-225,1.212724448711405130e-225,4.140176252944148446e-140
-4.790979097909790880e+02,1.464989780679241709e-225,1.464989780679241709e-225,4.657279954629035052e-140
-4.789978997899789874e+02,1.769668873843639467e-225,1.769668873843639467e-225,5.238855359602168987e-140
-4.788978897889788868e+02,2.137639098686844159e-225,2.137639098686844159e-225,5.892926445265159841e-140
-4.787978797879787862e+02,2.582032541811918447e-225,2.582032541811918447e-225,6.628514052395069321e-140
-4.786978697869786856e+02,3.118702824029465447e-225,3.118702824029465447e-225,7.455759509280102711e-140
-4.785978597859785850e+02,3.766788454566783259e-225,3.766788454566783259e-225,8.386063559292570122e-140
-4.784978497849784844e+02,4.549392661008611540e-225,4.549392661008611540e-225,9.432242482870620006e-140
-4.783978397839783838e+02,5.494403748241896633e-225,5.494403748241896633e-225,1.060870353815384237e-139
-4.782978297829782832e+02,6.635485000971723776e-225,6.635485000971723776e-225,1.193164210643896141e-139
-4.781978197819781826e+02,8.013269127785323142e-225,8.013269127785323142e-225,1.341926322282551743e-139
-4.780978097809780820e+02,9.676799460615777299e-225,9.676799460615777299e-225,1.509203050284609248e-139
-4.779977997799779814e+02,1.168526882525133837e-224,1.168526882525133837e-224,1.697294584690238744e-139
-4.778977897789778808e+02,1.411011749203557585e-224,1.411011749203557585e-224,1.908786372105289390e-139
-4.777977797779777802e+02,1.703756426939451505e-224,1.703756426939451505e-224,2.146584428064162325e-139
