# time,flux,err
5.474873000000000320e+04,2.920303000000000093e+00,6.505505000000000315e-01
5.475772000000000116e+04,2.918616999999999795e+00,6.365216999999999681e-01
5.476669999999999709e+04,2.916887000000000008e+00,6.221619000000000455e-01
5.477569000000000233e+04,2.915111000000000008e+00,6.074477999999999822e-01
5.478468000000000029e+04,2.913289999999999935e+00,5.923528000000000127e-01
5.479366000000000349e+04,2.911423000000000094e+00,5.768469000000000513e-01
5.480265000000000146e+04,2.909508000000000205e+00,5.608959999999999502e-01
5.481163999999999942e+04,2.907545999999999964e+00,5.444609000000000254e-01
5.482062000000000262e+04,2.905534999999999979e+00,5.274961000000000233e-01
5.482961000000000058e+04,2.903474000000000110e+00,5.099487000000000325e-01
5.483859999999999854e+04,2.901364000000000054e+00,4.917561999999999767e-01
5.484758000000000175e+04,2.899201999999999835e+00,4.728438999999999837e-01
5.485656999999999971e+04,2.896990000000000176e+00,4.531216000000000133e-01
5.486555999999999767e+04,2.894724000000000075e+00,4.324781999999999793e-01
5.487454000000000087e+04,2.892405999999999811e+00,4.107746999999999926e-01
5.488352999999999884e+04,2.890033999999999992e+00,3.878326999999999747e-01
5.489251999999999680e+04,2.887608000000000175e+00,3.634177000000000102e-01
5.490150000000000000e+04,2.885126000000000079e+00,3.372091999999999867e-01
5.491048999999999796e+04,2.882587000000000010e+00,3.087506999999999890e-01
5.491948000000000320e+04,2.879992000000000107e+00,2.773496999999999768e-01
5.492845999999999913e+04,2.877339000000000091e+00,2.418621999999999994e-01
5.493744999999999709e+04,2.874626999999999821e+00,2.001948000000000061e-01
5.494643000000000029e+04,2.871856000000000186e+00,1.470907999999999938e-01
5.495541999999999825e+04,2.856721999999999984e+00,1.154807000000000056e-01
5.496441000000000349e+04,2.815166000000000057e+00,1.493956999999999924e-01
5.497338999999999942e+04,2.773547999999999902e+00,1.552393999999999996e-01
5.498237999999999738e+04,2.731866000000000128e+00,1.366584000000000132e-01
5.499137000000000262e+04,2.690120999999999984e+00,7.776149999999999729e-02
5.500034999999999854e+04,2.646205000000000140e+00,1.204766000000000031e-01
5.500933999999999651e+04,2.645853999999999928e+00,1.767934999999999923e-01
5.501833000000000175e+04,2.645436999999999816e+00,2.155824000000000074e-01
5.502730999999999767e+04,2.644950999999999830e+00,2.453084000000000098e-01
5.503630000000000291e+04,2.644397000000000109e+00,2.689968999999999832e-01
5.504529000000000087e+04,2.643772999999999929e+00,2.881440000000000112e-01
5.505426999999999680e+04,2.643078000000000038e+00,3.036129000000000189e-01
5.506326000000000204e+04,2.642310999999999854e+00,3.159465000000000190e-01
5.507225000000000000e+04,2.641471999999999820e+00,3.255036000000000040e-01
