# lags,weights,weighted_lags
-8.162236841697914542e+02,3.092354255987108669e-01,-2.524052783579932111e+02
-2.072564021878586402e+02,3.121645252081735045e-01,-6.469809638532714757e+01
-9.162041989934286903e+02,2.916200562548462161e-01,-2.671835200513900190e+02
-6.260418787195609411e+02,3.213770950580656649e-01,-2.011955203675863686e+02
-2.517992404288571606e+02,4.064485907790284513e-01,-1.023434464315387658e+02
-6.643477898488281426e+02,2.513408442621371530e-01,-1.669777343842893345e+02
-4.808125340339793752e+02,3.788122332595981745e-01,-1.821376697966182974e+02
-7.645167255333494722e+02,3.117501741952429795e-01,-2.383382223601984720e+02
-4.758671788796817168e+02,3.809625577518078177e-01,-1.812875776161405952e+02
-3.799071438686291913e+02,3.280840135390657442e-01,-1.246414605325831246e+02
-4.987507634805006660e+02,3.696283615666792199e-01,-1.843524275354278075e+02
-2.544395424562787866e+02,2.521984598147032353e-01,-6.416926072343130727e+01
-2.841244811083381592e+02,3.744579783075229762e-01,-1.063926787835023049e+02
-4.645234162086153447e+02,3.765009261222171388e-01,-1.748934964079998053e+02
-4.991947962734175803e+02,3.696283615666792199e-01,-1.845165546491555517e+02
-4.620952727697114142e+02,3.521493069647159690e-01,-1.627265300575252525e+02
-4.460048557103078224e+02,3.371582038739309173e-01,-1.503741960703391101e+02
-4.320224629380526835e+02,3.410021929198298052e-01,-1.473206072525018442e+02
-7.942676207760551961e+02,2.944280390926512503e-01,-2.338546580998794866e+02
-5.451868397556598893e+02,3.613961993550441343e-01,-1.970284518260829714e+02
-6.913328059705730766e+02,2.953332063057295676e-01,-2.041735342116261620e+02
-6.988224841706314692e+02,2.523118950978810449e-01,-1.763212253181009999e+02
-4.942264823225768851e+02,3.813247599578547531e-01,-1.884607947364715699e+02
-7.263663046944943744e+02,2.945372114496023763e-01,-2.139419058756686240e+02
-4.808125340339793752e+02,3.788122332595981745e-01,-1.821376697966182974e+02
-6.384584446206048369e+02,3.359635413825882155e-01,-2.144987600803574708e+02
-6.395080865774206131e+02,3.515743418406260812e-01,-2.248346346402147731e+02
-4.685916597285088301e+02,3.515033691412776107e-01,-1.647115471460739684e+02
-4.499959748000919149e+02,3.531244542670400888e-01,-1.589045830236471772e+02
-4.737822523779222479e+02,3.516564903181124691e-01,-1.666086040462303401e+02
-1.525805845248842161e+02,3.121645252081735045e-01,-4.763024572419606528e+01
-3.737970508120951081e+02,3.844755883469098134e-01,-1.437158410333200038e+02
-3.737970508120951081e+02,3.844755883469098134e-01,-1.437158410333200038e+02
-3.476818411174072025e+02,3.970130091634667124e-01,-1.380342139735161595e+02
-7.655861229412895455e+02,2.953332063057295676e-01,-2.261030043914234966e+02
-4.732910679602178448e+02,3.614219422916573055e-01,-1.710577770514747158e+02
-6.829545546975995194e+02,3.074906568674107832e-01,-2.100021446345549236e+02
-5.151157950139262311e+02,3.495698677761471251e-01,-1.800689603524230904e+02
-4.687781222984269789e+02,3.849002744903983197e-01,-1.804328279477580566e+02
-5.553681071204462114e+02,3.587433504639617743e-01,-1.992346154892173047e+02
-5.692659831955818390e+02,3.381643945751559022e-01,-1.925054865595648153e+02
-2.916320934386533850e+02,3.873694458079673386e-01,-1.129693624151485096e+02
-3.409989893613367258e+02,4.182976188719454425e-01,-1.426390652875870160e+02
-3.419513609752171419e+02,3.968012050694454396e-01,-1.356867121101031159e+02
-1.930495555437379949e+02,4.078621922961486734e-01,-7.873761494586609899e+01
-5.753640487954413629e+02,3.360798569609818043e-01,-1.933682672196632950e+02
-4.134145298652792917e+02,3.491824369843816722e-01,-1.443570930231106786e+02
-6.829545546975995194e+02,3.074906568674107832e-01,-2.100021446345549236e+02
