# tau,tf,errlo,errhi
-1.767295738785297772e+03,5.112489850814198183e-04,1.324750389742458765e-04,2.572794766031265539e-04
-1.766989461991411417e+03,5.114706009423742933e-04,1.324526995846726611e-04,2.573054955412940785e-04
-1.766683185197525063e+03,5.116922635837198525e-04,1.324303087555346527e-04,2.573314893878633162e-04
-1.766376908403638708e+03,5.119139729830203414e-04,1.324078664769833382e-04,2.573574581347787531e-04
-1.766070631609752354e+03,5.121357291178169459e-04,1.323853727392012127e-04,2.573834017739927904e-04
-1.765764354815866000e+03,5.123575319656271075e-04,1.323628275324011290e-04,2.574093202974665024e-04
-1.765458078021979645e+03,5.125793815039452828e-04,1.323402308468267312e-04,2.574352136971696375e-04
-1.765151801228093291e+03,5.128012777102425096e-04,1.323175826727520754e-04,2.574610819650802922e-04
-1.764845524434206936e+03,5.130232205619667321e-04,1.322948830004826051e-04,2.574869250931849114e-04
-1.764539247640320582e+03,5.132452100365425844e-04,1.322721318203536880e-04,2.575127430734787219e-04
-1.764232970846434227e+03,5.134672461113716068e-04,1.322493291227324588e-04,2.575385358979649739e-04
-1.763926694052547873e+03,5.136893287638317042e-04,1.322264748980160306e-04,2.575643035586561332e-04
-1.763620417258661291e+03,5.139114579712781216e-04,1.322035691366326869e-04,2.575900460475726884e-04
-1.763314140464774937e+03,5.141336337110422516e-04,1.322370656940872699e-04,2.576157633567433686e-04
-1.763007863670888582e+03,5.143558559604325016e-04,1.323123020598818709e-04,2.576414554782061181e-04
-1.762701586877002228e+03,5.145781246967340771e-04,1.323927574354844526e-04,2.576671224040072298e-04
-1.762395310083115874e+03,5.148004398972089819e-04,1.324732369670154853e-04,2.576927641262009112e-04
-1.762089033289229519e+03,5.150228015390959091e-04,1.325537406459443039e-04,2.577183806368503688e-04
-1.761782756495343165e+03,5.152452095996101333e-04,1.326342684637273951e-04,2.577439719280276995e-04
-1.761476479701456810e+03,5.154676640559437270e-04,1.327148204118086148e-04,2.577695379918131316e-04
-1.761170202907570456e+03,5.156901648852658861e-04,1.327953964816196218e-04,2.577950788202951335e-04
-1.760863926113684101e+03,5.159127120647219542e-04,1.328759966645786305e-04,2.578205944055716060e-04
-1.760557649319797747e+03,5.161353055714343980e-04,1.329566209520917125e-04,2.578460847397480394e-04
-1.760251372525911393e+03,5.163579453825022656e-04,1.330372693355520914e-04,2.578715498149395735e-04
-1.759945095732025038e+03,5.165806314750016198e-04,1.330791725792287170e-04,2.578969896232685037e-04
-1.759638818938138684e+03,5.168033638259847797e-04,1.330774273336047002e-04,2.579224041568673170e-04
-1.759332542144252329e+03,5.170261424124811874e-04,1.330756473225525168e-04,2.579477934078760895e-04
-1.759026265350365975e+03,5.172489672114969749e-04,1.330738325380604551e-04,2.579731573684432462e-04
-1.758719988556479620e+03,5.174718382000146385e-04,1.330719829721377823e-04,2.579984960307268611e-04
-1.758413711762593266e+03,5.176947553549940146e-04,1.330700986168163171e-04,2.580238093868928145e-04
-1.758107434968706912e+03,5.179177186533713041e-04,1.330681794641486409e-04,2.580490974291157688e-04
-1.757801158174820557e+03,5.181407280720591807e-04,1.330662255062091274e-04,2.580743601495793854e-04
-1.757494881380934203e+03,5.183637835879478751e-04,1.330642367350943220e-04,2.580995975404748064e-04
-1.757188604587047848e+03,5.185868851779033319e-04,1.331338418468521714e-04,2.581248095940033658e-04
-1.756882327793161494e+03,5.188100328187688357e-04,1.332026623813091070e-04,2.581499963023742034e-04
