# time,flux,err
-9.884941999999999496e+01,5.789716999999999558e+00,1.958074999999999954e-01
-9.358383999999999503e+01,5.756847999999999743e+00,2.180524000000000073e-01
-8.831825000000000614e+01,5.293699000000000154e+00,2.140400000000000080e-01
-8.305266000000000304e+01,4.690282999999999980e+00,1.936968000000000023e-01
-7.778708000000000311e+01,5.276456999999999731e+00,2.343255999999999950e-01
-7.252149000000000001e+01,6.006391999999999953e+00,2.209143000000000079e-01
-6.725589999999999691e+01,6.150542999999999871e+00,4.756838999999999928e-01
-6.199031999999999698e+01,6.203866999999999798e+00,6.437353999999999576e-01
-5.672473000000000098e+01,6.256069000000000102e+00,7.531771000000000438e-01
-5.145913999999999788e+01,6.307165999999999606e+00,8.277231999999999923e-01
-4.619355999999999796e+01,6.357175999999999938e+00,8.764169000000000542e-01
-4.092797000000000196e+01,6.406115999999999921e+00,9.035109000000000057e-01
-3.566237999999999886e+01,6.454005000000000436e+00,9.109707000000000221e-01
-3.039679999999999893e+01,6.500858000000000025e+00,8.992953999999999670e-01
-2.513120999999999938e+01,6.546692000000000178e+00,8.676964000000000343e-01
-1.986561999999999983e+01,6.591522000000000325e+00,8.138094999999999635e-01
-1.460003999999999991e+01,6.635365000000000180e+00,7.326491000000000531e-01
-9.334448999999999330e+00,6.678236000000000061e+00,6.133448999999999707e-01
-4.068863000000000341e+00,6.720149000000000150e+00,4.246387999999999829e-01
1.196723999999999899e+00,6.695438000000000223e+00,2.240335999999999994e-01
6.462310999999999694e+00,6.446450999999999709e+00,2.448271999999999948e-01
1.172789999999999999e+01,6.085314000000000334e+00,3.055342999999999809e-01
1.699348000000000170e+01,5.787580000000000169e+00,2.058714000000000099e-01
2.225907000000000124e+01,5.968809000000000253e+00,2.552820000000000089e-01
2.752466000000000079e+01,5.933402000000000065e+00,3.037382000000000137e-01
3.279023999999999717e+01,5.812990000000000101e+00,1.865254000000000079e-01
3.805583000000000027e+01,5.828916000000000430e+00,2.648838000000000026e-01
4.332142000000000337e+01,6.024346999999999674e+00,3.015205000000000246e-01
4.858700999999999937e+01,6.281518000000000157e+00,1.657260999999999873e-01
5.385258999999999929e+01,6.164905000000000079e+00,2.738578999999999875e-01
5.911818000000000239e+01,5.835696000000000438e+00,2.982369000000000270e-01
6.438376999999999839e+01,5.386950999999999823e+00,1.344088999999999978e-01
6.964934999999999832e+01,5.363992999999999789e+00,2.803237000000000090e-01
7.491494000000000142e+01,5.409017999999999660e+00,2.936146000000000034e-01
8.018053000000000452e+01,5.499126999999999654e+00,9.576205999999999607e-02
8.544611000000000445e+01,5.184891000000000361e+00,2.863261999999999752e-01
9.071169999999999334e+01,5.313322000000000322e+00,2.883029999999999760e-01
9.597728999999999644e+01,5.872849000000000430e+00,8.083295999999999537e-02
1.012429000000000059e+02,6.035618999999999623e+00,2.927178999999999753e-01
1.065084999999999980e+02,6.343802000000000163e+00,1.991720999999999908e-01
1.117740000000000009e+02,6.319404999999999717e+00,1.194815999999999934e-01
1.170395999999999930e+02,5.887678000000000189e+00,1.935556999999999972e-01
1.223051999999999992e+02,6.228076999999999863e+00,1.995640999999999943e-01
1.275708000000000055e+02,6.856105000000000338e+00,1.441435000000000077e-01
1.328363999999999976e+02,7.700835999999999792e+00,2.031158000000000130e-01
1.381020000000000039e+02,7.044546000000000419e+00,2.002695999999999921e-01
1.433676000000000101e+02,6.833397999999999861e+00,1.612318000000000084e-01
1.486331999999999880e+02,7.573870999999999576e+00,2.028985000000000094e-01
1.538986999999999910e+02,7.798658999999999786e+00,2.033367000000000091e-01
1.591642999999999972e+02,8.758112000000000563e+00,1.778349999999999931e-01
1.644299000000000035e+02,9.504787000000000319e+00,2.163538999999999879e-01
1.696955000000000098e+02,9.966542999999999708e+00,2.057733999999999952e-01
1.749610999999999876e+02,1.011968000000000067e+01,1.913273000000000057e-01
1.802266999999999939e+02,9.754645000000000010e+00,2.203006999999999882e-01
1.854923000000000002e+02,9.714513000000000176e+00,2.318894999999999984e-01
1.907578000000000031e+02,9.735576999999999259e+00,2.211121000000000059e-01
1.960234000000000094e+02,9.552374999999999616e+00,2.221993999999999914e-01
2.012889999999999873e+02,9.931570000000000675e+00,2.349819999999999964e-01
2.065545999999999935e+02,1.075821999999999967e+01,2.242822999999999900e-01
