# time,flux,err
5.474873000000000320e+04,2.937338000000000005e+00,7.899827999999999850e-01
5.475772000000000116e+04,2.934902999999999818e+00,7.727197000000000093e-01
5.476669999999999709e+04,2.932462999999999820e+00,7.550542000000000087e-01
5.477569000000000233e+04,2.930016999999999872e+00,7.369573000000000373e-01
5.478468000000000029e+04,2.927566000000000113e+00,7.183966000000000518e-01
5.479366000000000349e+04,2.925108999999999959e+00,6.993350000000000399e-01
5.480265000000000146e+04,2.922645999999999855e+00,6.797303999999999569e-01
5.481163999999999942e+04,2.920176999999999801e+00,6.595343999999999651e-01
5.482062000000000262e+04,2.917702999999999935e+00,6.386908999999999503e-01
5.482961000000000058e+04,2.915223000000000120e+00,6.171343000000000245e-01
5.483859999999999854e+04,2.912736999999999910e+00,5.947869999999999546e-01
5.484758000000000175e+04,2.910245000000000193e+00,5.715563000000000171e-01
5.485656999999999971e+04,2.907748000000000221e+00,5.473297999999999774e-01
5.486555999999999767e+04,2.905244000000000160e+00,5.219686999999999522e-01
5.487454000000000087e+04,2.902734999999999843e+00,4.952987999999999835e-01
5.488352999999999884e+04,2.900220000000000020e+00,4.670959000000000083e-01
5.489251999999999680e+04,2.897698999999999803e+00,4.370635999999999965e-01
5.490150000000000000e+04,2.895172000000000079e+00,4.047946000000000044e-01
5.491048999999999796e+04,2.892640000000000100e+00,3.697038000000000268e-01
5.491948000000000320e+04,2.890101000000000031e+00,3.308946999999999861e-01
5.492845999999999913e+04,2.887556000000000012e+00,2.868621000000000087e-01
5.493744999999999709e+04,2.885006000000000181e+00,2.346839000000000008e-01
5.494643000000000029e+04,2.882448999999999817e+00,1.669566000000000106e-01
5.495541999999999825e+04,2.867087999999999859e+00,1.270843999999999863e-01
5.496441000000000349e+04,2.824294000000000082e+00,1.747311000000000003e-01
5.497338999999999942e+04,2.781495000000000051e+00,1.842932999999999932e-01
5.498237999999999738e+04,2.738687999999999789e+00,1.626340000000000008e-01
5.499137000000000262e+04,2.695875000000000021e+00,8.937605999999999329e-02
5.500034999999999854e+04,2.632795000000000218e+00,1.425055000000000072e-01
5.500933999999999651e+04,2.631845999999999908e+00,2.117537999999999920e-01
5.501833000000000175e+04,2.630891000000000091e+00,2.591334000000000137e-01
5.502730999999999767e+04,2.629926999999999904e+00,2.953638000000000097e-01
5.503630000000000291e+04,2.628957000000000210e+00,3.242056999999999856e-01
5.504529000000000087e+04,2.627979999999999983e+00,3.475044999999999940e-01
5.505426999999999680e+04,2.626994999999999969e+00,3.663199999999999790e-01
5.506326000000000204e+04,2.626002999999999865e+00,3.813170000000000170e-01
5.507225000000000000e+04,2.625004999999999811e+00,3.929334999999999911e-01
5.508123000000000320e+04,2.623997999999999831e+00,4.014633000000000229e-01
5.509022000000000116e+04,2.622984999999999900e+00,4.071008999999999878e-01
5.509920999999999913e+04,2.621964000000000183e+00,4.099655999999999856e-01
5.510819000000000233e+04,2.620937000000000072e+00,4.101156000000000246e-01
5.511718000000000029e+04,2.619902000000000175e+00,4.075540999999999747e-01
5.512616999999999825e+04,2.618860000000000188e+00,4.022291000000000061e-01
5.513515000000000146e+04,2.617809999999999970e+00,3.940284000000000009e-01
5.514413999999999942e+04,2.616753999999999802e+00,3.827670000000000239e-01
5.515312999999999738e+04,2.615689999999999849e+00,3.681636999999999826e-01
5.516211000000000058e+04,2.614618999999999804e+00,3.497996999999999912e-01
5.517109999999999854e+04,2.613539999999999974e+00,3.270415999999999879e-01
5.518008999999999651e+04,2.612455000000000194e+00,2.988862999999999936e-01
5.518906999999999971e+04,2.611362000000000183e+00,2.636092999999999908e-01
5.519805999999999767e+04,2.610262000000000082e+00,2.177750999999999992e-01
5.520705000000000291e+04,2.609154000000000195e+00,1.521210000000000062e-01
5.521602999999999884e+04,2.631149999999999878e+00,8.422264999999999613e-02
5.522501999999999680e+04,2.772189000000000014e+00,7.929674000000000444e-02
5.523400000000000000e+04,2.802633999999999848e+00,6.798239999999999839e-02
5.524298999999999796e+04,2.858340999999999799e+00,4.230617999999999879e-02
5.525198000000000320e+04,2.928767000000000120e+00,1.048028000000000015e-01
5.526095999999999913e+04,2.877994000000000163e+00,9.390302000000000371e-02
5.526994999999999709e+04,2.927299999999999791e+00,8.420653000000000166e-02
5.527894000000000233e+04,3.083165999999999851e+00,7.873462000000000516e-02
5.528791999999999825e+04,3.150571999999999928e+00,9.998825000000000074e-02
5.529691000000000349e+04,3.136881999999999948e+00,1.196168999999999982e-01
5.530590000000000146e+04,3.135231000000000101e+00,7.120137999999999467e-02
5.531487999999999738e+04,3.168988000000000138e+00,1.315334999999999976e-01
5.532387000000000262e+04,3.202739999999999920e+00,8.934129999999999849e-02
5.533286000000000058e+04,3.172832000000000097e+00,4.411298000000000302e-02
5.534183999999999651e+04,3.173758999999999997e+00,1.060272000000000020e-01
5.535083000000000175e+04,3.171177000000000135e+00,3.943798999999999916e-02
5.535981999999999971e+04,3.230897999999999826e+00,7.466936000000000406e-02
5.536880000000000291e+04,3.249985000000000124e+00,4.926745999999999903e-02
5.537779000000000087e+04,3.220558000000000032e+00,4.254025000000000167e-02
5.538677999999999884e+04,3.273137999999999881e+00,7.943147999999999875e-02
5.539576000000000204e+04,3.313309999999999977e+00,1.401207999999999898e-01
5.540475000000000000e+04,3.351818999999999882e+00,2.097845999999999878e-01
5.541373999999999796e+04,3.390324000000000115e+00,2.568939000000000084e-01
5.542272000000000116e+04,3.428825999999999929e+00,2.925562999999999914e-01
5.543170999999999913e+04,3.467324000000000073e+00,3.206154999999999977e-01
5.544069999999999709e+04,3.505818999999999797e+00,3.429438000000000208e-01
5.544968000000000029e+04,3.544309999999999850e+00,3.606077999999999784e-01
5.545866999999999825e+04,3.582799000000000067e+00,3.742692000000000241e-01
5.546766000000000349e+04,3.621284999999999865e+00,3.843553000000000108e-01
5.547663999999999942e+04,3.659768000000000132e+00,3.911431000000000213e-01
5.548562999999999738e+04,3.698249000000000120e+00,3.948031000000000179e-01
5.549462000000000262e+04,3.736727999999999827e+00,3.954220999999999986e-01
5.550359999999999854e+04,3.775205000000000144e+00,3.930145999999999917e-01
5.551258999999999651e+04,3.813679000000000041e+00,3.875241999999999853e-01
5.552158000000000175e+04,3.852152999999999938e+00,3.788165000000000004e-01
5.553055999999999767e+04,3.890623999999999860e+00,3.666620999999999908e-01
5.553955000000000291e+04,3.929094999999999782e+00,3.507025999999999755e-01
5.554852999999999884e+04,3.967563999999999869e+00,3.303863000000000216e-01
5.555751999999999680e+04,4.006032000000000259e+00,3.048427000000000220e-01
5.556651000000000204e+04,4.044499000000000066e+00,2.726055000000000006e-01
5.557548999999999796e+04,4.082965999999999873e+00,2.308862999999999888e-01
5.558448000000000320e+04,4.121432999999999680e+00,1.729527999999999899e-01
5.559347000000000116e+04,4.159899000000000235e+00,6.423020000000000118e-02
5.560244999999999709e+04,4.070255999999999652e+00,4.494135999999999964e-02
5.561144000000000233e+04,4.027214999999999989e+00,1.378701999999999983e-01
5.562043000000000029e+04,3.984955999999999943e+00,1.382944000000000118e-01
5.562941000000000349e+04,3.942696000000000200e+00,4.073432999999999915e-02
5.563840000000000146e+04,3.984360000000000124e+00,8.862657000000000174e-02
5.564738999999999942e+04,3.812145000000000117e+00,9.638708999999999472e-02
5.565637000000000262e+04,3.819396999999999931e+00,8.539547999999999583e-02
5.566536000000000058e+04,3.721786999999999956e+00,5.033636999999999834e-02
5.567434999999999854e+04,3.638326999999999867e+00,3.747878999999999794e-02
5.568333000000000175e+04,3.565834000000000170e+00,1.207338000000000022e-01
5.569231999999999971e+04,3.519995999999999903e+00,1.480638999999999983e-01
5.570130999999999767e+04,3.474155999999999800e+00,1.106557999999999986e-01
5.571029000000000087e+04,3.475853999999999999e+00,2.508298000000000125e-02
5.571927999999999884e+04,3.413336999999999843e+00,2.761212999999999862e-02
5.572826999999999680e+04,3.439147000000000176e+00,1.095083000000000029e-01
5.573725000000000000e+04,3.416145000000000209e+00,1.011230000000000046e-01
5.574623999999999796e+04,3.328860999999999848e+00,2.809864999999999932e-02
5.575523000000000320e+04,3.384126999999999885e+00,7.478239000000000414e-02
5.576420999999999913e+04,3.382105999999999835e+00,1.004310000000000064e-01
5.577319999999999709e+04,3.375392999999999866e+00,1.880716000000000054e-01
5.578219000000000233e+04,3.368676999999999921e+00,2.414528999999999981e-01
5.579116999999999825e+04,3.361956999999999862e+00,2.808431000000000122e-01
5.580016000000000349e+04,3.355233000000000132e+00,3.115952000000000166e-01
5.580915000000000146e+04,3.348505999999999982e+00,3.360896999999999912e-01
5.581812999999999738e+04,3.341774000000000022e+00,3.556227000000000138e-01
5.582712000000000262e+04,3.335039000000000087e+00,3.709793000000000118e-01
5.583611000000000058e+04,3.328300000000000036e+00,3.826630999999999783e-01
5.584508999999999651e+04,3.321556999999999871e+00,3.910038000000000125e-01
