# lags,weights,weighted_lags
4.908203765208355094e+02,3.532402000686702404e-01,1.733774879999999996e+02
4.814699199433082413e+02,3.602874838378799516e-01,1.734675860000000114e+02
6.088259650168484995e+02,2.900038732663345886e-01,1.765618880000000104e+02
4.949169445444808844e+02,3.570737271132510826e-01,1.767218379999999911e+02
5.593963975372282675e+02,3.358717124872011017e-01,1.878854259999999670e+02
4.949169445444808844e+02,3.570737271132510826e-01,1.767218379999999911e+02
6.088259650168484995e+02,2.900038732663345886e-01,1.765618880000000104e+02
5.984762692200861238e+02,2.945162791996704388e-01,1.762610040000000140e+02
1.187388188165571989e+02,7.810703940324834615e-01,9.274337599999999782e+01
5.409272341223313560e+02,3.477261619211840515e-01,1.880945510000000240e+02
5.241637512793399765e+02,3.311741198744013182e-01,1.735894690000000082e+02
5.567063135675002741e+02,3.375859953799730806e-01,1.879362549999999885e+02
4.908203765208355094e+02,3.532402000686702404e-01,1.733774879999999996e+02
5.417131625448420209e+02,3.254312672998914135e-01,1.762904010000000028e+02
5.829773042741845757e+02,3.020351130465048217e-01,1.760796159999999873e+02
4.944682214148800199e+02,3.574867430189935802e-01,1.767658340000000123e+02
5.973477464306495222e+02,2.947481547424586346e-01,1.760671460000000081e+02
6.015876352594898435e+02,2.931992109909602462e-01,1.763850199999999973e+02
5.469711524542643701e+02,3.218907746962429983e-01,1.760649679999999933e+02
4.908203765208355094e+02,3.532402000686702404e-01,1.733774879999999996e+02
5.855362286261723739e+02,3.005813037614203376e-01,1.760012429999999881e+02
5.417131625448420209e+02,3.254312672998914135e-01,1.762904010000000028e+02
4.949169445444808844e+02,3.570737271132510826e-01,1.767218379999999911e+02
5.857319347813204331e+02,3.013237532727208179e-01,1.764949450000000013e+02
4.944682214148800199e+02,3.574867430189935802e-01,1.767658340000000123e+02
6.066071776392113861e+02,2.903044729627952680e-01,1.761007769999999937e+02
5.702670417364142850e+02,3.097520934440504137e-01,1.766414100000000076e+02
5.855362286261723739e+02,3.005813037614203376e-01,1.760012429999999881e+02
6.066071776392113861e+02,2.903044729627952680e-01,1.761007769999999937e+02
5.702670417364142850e+02,3.097520934440504137e-01,1.766414100000000076e+02
6.142908643354815013e+02,2.872659032474681462e-01,1.764648200000000031e+02
5.363172911648430272e+02,3.239072725451362933e-01,1.737170710000000042e+02
4.908203765208355094e+02,3.532402000686702404e-01,1.733774879999999996e+02
1.062355044012746816e+02,8.502847377539833884e-01,9.033042799999999772e+01
5.363172911648430272e+02,3.239072725451362933e-01,1.737170710000000042e+02
5.072264131168774952e+02,3.424087774387650218e-01,1.736787759999999992e+02
5.413782631501992455e+02,3.254289892889933311e-01,1.761801810000000046e+02
5.478968298094921465e+02,3.221026485248382754e-01,1.764790199999999629e+02
5.520514003796893121e+02,3.201338786179123708e-01,1.767303560000000004e+02
5.973477464306495222e+02,2.947481547424586346e-01,1.760671460000000081e+02
6.066071776392113861e+02,2.903044729627952680e-01,1.761007769999999937e+02
5.520514003796893121e+02,3.201338786179123708e-01,1.767303560000000004e+02
5.593963975372282675e+02,3.358717124872011017e-01,1.878854259999999670e+02
5.413782631501992455e+02,3.254289892889933311e-01,1.761801810000000046e+02
5.417131625448420209e+02,3.254312672998914135e-01,1.762904010000000028e+02
5.820430035867809693e+02,3.040786177470334306e-01,1.769868319999999642e+02
5.072264131168774952e+02,3.424087774387650218e-01,1.736787759999999992e+02
5.857319347813204331e+02,3.013237532727208179e-01,1.764949450000000013e+02
6.142908643354815013e+02,2.872659032474681462e-01,1.764648200000000031e+02
5.785255710708556762e+02,3.053712589972323310e-01,1.766650820000000124e+02
6.066071776392113861e+02,2.903044729627952680e-01,1.761007769999999937e+02
4.876213434464947341e+02,3.559364768024032566e-01,1.735622229999999888e+02
