# lags,weights,weighted_lags
7.115863437477331672e+02,2.385779947741455409e-01,1.697688430000000039e+02
6.962909573538354380e+02,2.440527227953723233e-01,1.699317039999999963e+02
8.445178014297030131e+02,2.038903356548522339e-01,1.721890180000000043e+02
7.206097128858771157e+02,2.387663070914625429e-01,1.720573200000000043e+02
7.203387838813226836e+02,2.471035004403227819e-01,1.779982349999999940e+02
7.203575436185633407e+02,2.388498899250871277e-01,1.720573200000000043e+02
8.445178014297030131e+02,2.038903356548522339e-01,1.721890180000000043e+02
8.410297922821218890e+02,2.049621399644493136e-01,1.723792660000000012e+02
1.344539225911403832e+02,5.197496633289356849e-01,6.988238099999999520e+01
7.011208223557524661e+02,2.521553281016308268e-01,1.767913509999999917e+02
7.927345580851374507e+02,2.148077149699733623e-01,1.702854989999999873e+02
7.129345156099881251e+02,2.496703078650976404e-01,1.779985800000000040e+02
7.115863437477331672e+02,2.385779947741455409e-01,1.697688430000000039e+02
7.831961267467470407e+02,2.198081848477617395e-01,1.721529189999999971e+02
8.711901677088727638e+02,1.975512963519953091e-01,1.721047470000000033e+02
7.171032627169797706e+02,2.403216607145962636e-01,1.723354469999999878e+02
8.708889552441561364e+02,1.978072910015308827e-01,1.722681849999999883e+02
8.656738096575420514e+02,1.987107558077217118e-01,1.720186970000000031e+02
8.169117049384149141e+02,2.105822428055045548e-01,1.720270989999999927e+02
7.115863437477331672e+02,2.385779947741455409e-01,1.697688430000000039e+02
8.064622995003173855e+02,2.129254871633740887e-01,1.717163779999999917e+02
7.831961267467470407e+02,2.198081848477617395e-01,1.721529189999999971e+02
7.203575436185633407e+02,2.388498899250871277e-01,1.720573200000000043e+02
8.582880715139185668e+02,2.004204237588666504e-01,1.720184590000000071e+02
7.171032627169797706e+02,2.403216607145962636e-01,1.723354469999999878e+02
8.762197805447274277e+02,1.966043392593856132e-01,1.722686109999999928e+02
7.841526465244801329e+02,2.199458278492409380e-01,1.724711029999999994e+02
8.064622995003173855e+02,2.129254871633740887e-01,1.717163779999999917e+02
8.762197805447274277e+02,1.966043392593856132e-01,1.722686109999999928e+02
7.841526465244801329e+02,2.199458278492409380e-01,1.724711029999999994e+02
8.777912037700510837e+02,1.970257200769419403e-01,1.729474439999999902e+02
7.511036675176854942e+02,2.265619186262236573e-01,1.701714880000000107e+02
7.115863437477331672e+02,2.385779947741455409e-01,1.697688430000000039e+02
8.770012933720308013e+01,5.677318879264026119e-01,4.979016000000000020e+01
7.511036675176854942e+02,2.265619186262236573e-01,1.701714880000000107e+02
7.542800698658576266e+02,2.255494169828134998e-01,1.701274300000000039e+02
7.930788549893300114e+02,2.169025726985425173e-01,1.720208440000000110e+02
7.915812872102717392e+02,2.169023557960783055e-01,1.716958459999999889e+02
8.015136364463248810e+02,2.152902847231292494e-01,1.725580989999999986e+02
8.708889552441561364e+02,1.978072910015308827e-01,1.722681849999999883e+02
8.762197805447274277e+02,1.966043392593856132e-01,1.722686109999999928e+02
8.015136364463248810e+02,2.152902847231292494e-01,1.725580989999999986e+02
7.203387838813226836e+02,2.471035004403227819e-01,1.779982349999999940e+02
7.930788549893300114e+02,2.169025726985425173e-01,1.720208440000000110e+02
7.831961267467470407e+02,2.198081848477617395e-01,1.721529189999999971e+02
8.209803806305858416e+02,2.107318092877146221e-01,1.730066809999999862e+02
7.542800698658576266e+02,2.255494169828134998e-01,1.701274300000000039e+02
8.582880715139185668e+02,2.004204237588666504e-01,1.720184590000000071e+02
8.777912037700510837e+02,1.970257200769419403e-01,1.729474439999999902e+02
8.220861816425572215e+02,2.101289266958012159e-01,1.727440870000000075e+02
8.762197805447274277e+02,1.966043392593856132e-01,1.722686109999999928e+02
7.255116179863883872e+02,2.342018332822726756e-01,1.699161510000000135e+02
