# lags,weights,weighted_lags
8.740580782667113908e+02,2.022309333843405332e-01,1.767615810000000067e+02
8.584783147462284205e+02,2.058604020210359209e-01,1.767266909999999882e+02
1.099838071147088840e+03,1.633813892372238119e-01,1.796930720000000008e+02
9.269014451200384883e+02,1.942852187232033956e-01,1.800832499999999925e+02
9.732949064944951942e+02,1.961312894234072957e-01,1.908935850000000016e+02
9.265903303558932294e+02,1.942852187232033956e-01,1.800228050000000053e+02
1.099838071147088840e+03,1.633813892372238119e-01,1.796930720000000008e+02
1.053527347099958206e+03,1.703307745109477744e-01,1.794481289999999944e+02
3.427295854975585030e+02,5.790392583467637300e-01,1.984538850000000139e+02
1.028939516818264565e+03,1.859352098669478925e-01,1.913160849999999584e+02
9.004697833118671042e+02,1.965090092742349248e-01,1.769504249999999956e+02
9.951801208849406066e+02,1.918209296928578833e-01,1.908963760000000036e+02
8.740580782667113908e+02,2.022309333843405332e-01,1.767615810000000067e+02
9.806872297709013537e+02,1.831931899857300039e-01,1.796552220000000091e+02
1.047338522229896398e+03,1.714610760403041112e-01,1.795777900000000216e+02
9.278207183888106329e+02,1.941692650632370620e-01,1.801542670000000044e+02
1.038002688903151693e+03,1.727463405605206281e-01,1.793111659999999858e+02
1.053158249574697720e+03,1.706074458160107832e-01,1.796766389999999944e+02
9.746033638878208194e+02,1.839392019794363897e-01,1.792677649999999971e+02
8.740580782667113908e+02,2.022309333843405332e-01,1.767615810000000067e+02
1.014593066741078019e+03,1.768281362066361218e-01,1.794086010000000044e+02
9.806872297709013537e+02,1.831931899857300039e-01,1.796552220000000091e+02
9.265903303558932294e+02,1.942852187232033956e-01,1.800228050000000053e+02
1.090665936634545915e+03,1.647753908539071332e-01,1.797149060000000134e+02
9.278207183888106329e+02,1.941692650632370620e-01,1.801542670000000044e+02
1.086115921589459958e+03,1.650862853917121065e-01,1.793028429999999958e+02
1.013594095055227399e+03,1.775343797658916201e-01,1.799477990000000034e+02
1.014593066741078019e+03,1.768281362066361218e-01,1.794086010000000044e+02
1.086115921589459958e+03,1.650862853917121065e-01,1.793028429999999958e+02
1.013594095055227399e+03,1.775343797658916201e-01,1.799477990000000034e+02
1.109565600353900436e+03,1.621711532356514829e-01,1.799395330000000399e+02
9.246374764386529250e+02,1.914200597640853263e-01,1.769941609999999912e+02
8.740580782667113908e+02,2.022309333843405332e-01,1.767615810000000067e+02
6.044843436409759079e+02,4.106430226213282353e-01,2.482272780000000125e+02
9.246374764386529250e+02,1.914200597640853263e-01,1.769941609999999912e+02
9.107345593713837388e+02,1.942926017017905793e-01,1.769489869999999883e+02
9.796492317115544211e+02,1.833872943340369432e-01,1.796552220000000091e+02
9.879553759374333595e+02,1.818454733641506893e-01,1.796552130000000034e+02
9.443028567736960213e+02,1.905432644932903430e-01,1.799305490000000134e+02
1.038002688903151693e+03,1.727463405605206281e-01,1.793111659999999858e+02
1.086115921589459958e+03,1.650862853917121065e-01,1.793028429999999958e+02
9.443028567736960213e+02,1.905432644932903430e-01,1.799305490000000134e+02
9.732949064944951942e+02,1.961312894234072957e-01,1.908935850000000016e+02
9.796492317115544211e+02,1.833872943340369432e-01,1.796552220000000091e+02
9.806872297709013537e+02,1.831931899857300039e-01,1.796552220000000091e+02
1.031891724034148410e+03,1.745292377149059437e-01,1.800952760000000126e+02
9.107345593713837388e+02,1.942926017017905793e-01,1.769489869999999883e+02
1.090665936634545915e+03,1.647753908539071332e-01,1.797149060000000134e+02
1.109565600353900436e+03,1.621711532356514829e-01,1.799395330000000399e+02
9.927529354573462115e+02,1.812588787935458801e-01,1.799452839999999867e+02
1.086115921589459958e+03,1.650862853917121065e-01,1.793028429999999958e+02
9.302370387047732265e+02,1.901163549091141047e-01,1.768532749999999965e+02
