# PLIKE V4.0 ZDCF peak likelihood analysis
# for file /home/stone28/projects/petl_mock/test_repo/plike_output/H-alpha/pyzdcf/H-alpha_pyzdcf.dcf
#
# num      lag         r         -dr        +dr    likelihood
# ---- ---------- ---------- ---------- ---------- ----------
     1 -4.990E+02  5.720E-02  4.465E-02  4.453E-02  0.000E+00
     2 -4.960E+02  4.004E-02  4.457E-02  4.449E-02  0.000E+00
     3 -4.930E+02  3.685E-02  4.445E-02  4.437E-02  0.000E+00
     4 -4.900E+02  3.642E-02  4.432E-02  4.424E-02  0.000E+00
     5 -4.870E+02  2.039E-02  4.421E-02  4.417E-02  0.000E+00
     6 -4.840E+02 -4.669E-03  4.407E-02  4.408E-02  0.000E+00
     7 -4.810E+02 -3.680E-02  4.386E-02  4.393E-02  0.000E+00
     8 -4.780E+02 -7.827E-02  4.348E-02  4.363E-02  0.000E+00
     9 -4.750E+02 -1.323E-01  4.281E-02  4.306E-02  0.000E+00
    10 -4.720E+02 -1.680E-01  4.219E-02  4.250E-02  0.000E+00
    11 -4.690E+02 -2.058E-01  4.142E-02  4.180E-02  0.000E+00
    12 -4.660E+02 -2.512E-01  4.037E-02  4.081E-02  0.000E+00
    13 -4.630E+02 -3.126E-01  3.872E-02  3.925E-02  0.000E+00
    14 -4.600E+02 -3.697E-01  3.690E-02  3.749E-02  0.000E+00
    15 -4.570E+02 -4.197E-01  3.508E-02  3.572E-02  0.000E+00
    16 -4.540E+02 -4.415E-01  3.417E-02  3.482E-02  0.000E+00
    17 -4.510E+02 -4.633E-01  3.322E-02  3.389E-02  0.000E+00
    18 -4.480E+02 -4.910E-01  3.200E-02  3.268E-02  0.000E+00
    19 -4.450E+02 -5.067E-01  3.124E-02  3.192E-02  0.000E+00
    20 -4.420E+02 -4.989E-01  3.149E-02  3.217E-02  0.000E+00
    21 -4.390E+02 -4.871E-01  3.191E-02  3.257E-02  0.000E+00
    22 -4.360E+02 -4.787E-01  3.216E-02  3.282E-02  0.000E+00
    23 -4.330E+02 -4.748E-01  3.224E-02  3.289E-02  0.000E+00
    24 -4.300E+02 -4.533E-01  3.300E-02  3.363E-02  0.000E+00
    25 -4.270E+02 -4.128E-01  3.440E-02  3.500E-02  0.000E+00
