#Lag,CCF
 -50.00000,  -0.40428
 -48.40849,  -0.41879
 -46.81698,  -0.38251
 -45.22547,  -0.44708
 -43.63396,  -0.45683
 -42.04245,  -0.33458
 -40.45094,  -0.33438
 -38.85943,  -0.34990
 -37.26792,  -0.35604
 -35.67642,  -0.37159
 -34.08491,  -0.44013
 -32.49340,  -0.40358
 -30.90189,  -0.30797
 -29.31038,  -0.31305
 -27.71887,  -0.24117
 -26.12736,  -0.12913
 -24.53585,  -0.08428
 -22.94434,  -0.00518
 -21.35283,   0.06188
 -19.76132,   0.09366
 -18.16981,   0.11663
 -16.57830,   0.14991
 -14.98679,   0.19753
 -13.39528,   0.26457
 -11.80377,   0.26964
 -10.21226,   0.23870
  -8.62076,   0.35333
  -7.02925,   0.35744
  -5.43774,   0.45329
  -3.84623,   0.48451
  -2.25472,   0.40772
  -0.66321,   0.46579
   0.92830,   0.42752
   2.51981,   0.53999
   4.11132,   0.59530
   5.70283,   0.60173
   7.29434,   0.65826
   8.88585,   0.69958
  10.47736,   0.69931
  12.06887,   0.66778
  13.66038,   0.73741
  15.25189,   0.72172
  16.84340,   0.71400
  18.43490,   0.74594
  20.02641,   0.80406
  21.61792,   0.71816
  23.20943,   0.64381
  24.80094,   0.69339
  26.39245,   0.72689
  27.98396,   0.70636
  29.57547,   0.69444
  31.16698,   0.69015
  32.75849,   0.65340
  34.35000,   0.58911
  35.94151,   0.54457
  37.53302,   0.50078
  39.12453,   0.52678
  40.71604,   0.42624
  42.30755,   0.30594
  43.89906,   0.38425
  45.49056,   0.21109
  47.08207,   0.19528
  48.67358,   0.13309
  50.26509,   0.15382
  51.85660,  -0.00635
  53.44811,  -0.07220
  55.03962,  -0.10611
  56.63113,  -0.10147
  58.22264,  -0.18695
  59.81415,  -0.13905
  61.40566,  -0.15835
  62.99717,  -0.09983
  64.58868,  -0.20187
  66.18019,  -0.26039
  67.77170,  -0.37021
  69.36321,  -0.47584
  70.95472,  -0.46642
  72.54622,  -0.49228
  74.13773,  -0.51375
  75.72924,  -0.47840
  77.32075,  -0.56235
  78.91226,  -0.47750
  80.50377,  -0.57276
  82.09528,  -0.52972
  83.68679,  -0.62461
  85.27830,  -0.58842
  86.86981,  -0.57958
  88.46132,  -0.59250
  90.05283,  -0.65211
  91.64434,  -0.64607
  93.23585,  -0.66911
  94.82736,  -0.70656
  96.41887,  -0.63163
  98.01038,  -0.74459
  99.60188,  -0.75917
