#Lag,CCF
-1976.98849,   0.00000
-1969.77320,   0.00000
-1962.55792,  -1.00000
-1955.34263,  -0.59439
-1948.12734,  -0.22085
-1940.91206,   0.40635
-1933.69677,   0.79568
-1926.48148,   0.55622
-1919.26620,   0.54816
-1912.05091,   0.46717
-1904.83563,   0.52908
-1897.62034,   0.39396
-1890.40505,   0.18148
-1883.18977,   0.01460
-1875.97448,  -0.20306
-1868.75919,  -0.52627
-1861.54391,  -0.72930
-1854.32862,  -0.74849
-1847.11333,  -0.72760
-1839.89805,  -0.50233
-1832.68276,  -0.32939
-1825.46747,  -0.42125
-1818.25219,  -0.43733
-1811.03690,  -0.28515
-1803.82161,  -0.04225
-1796.60633,   0.22181
-1789.39104,   0.45785
-1782.17576,   0.54652
-1774.96047,   0.51277
-1767.74518,   0.58132
-1760.52990,   0.62476
-1753.31461,   0.62484
-1746.09932,   0.55746
-1738.88404,   0.32586
-1731.66875,   0.04686
-1724.45346,  -0.17617
-1717.23818,  -0.36346
-1710.02289,  -0.50954
-1702.80760,  -0.54544
-1695.59232,  -0.47311
-1688.37703,  -0.34938
-1681.16175,  -0.26441
-1673.94646,  -0.26428
-1666.73117,  -0.34486
-1659.51589,  -0.40580
-1652.30060,  -0.39712
-1645.08531,  -0.31561
-1637.87003,  -0.20523
-1630.65474,  -0.14296
-1623.43945,  -0.12479
-1616.22417,  -0.08062
-1609.00888,  -0.18278
-1601.79359,  -0.21163
-1594.57831,  -0.25090
-1587.36302,  -0.27600
-1580.14773,  -0.18958
-1572.93245,  -0.13598
-1565.71716,  -0.11840
-1558.50188,  -0.09673
-1551.28659,  -0.12434
-1544.07130,  -0.18471
-1536.85602,  -0.24006
-1529.64073,  -0.27795
-1522.42544,  -0.34228
-1515.21016,  -0.38690
-1507.99487,  -0.44731
-1500.77958,  -0.49752
-1493.56430,  -0.52136
-1486.34901,  -0.50617
-1479.13372,  -0.46517
-1471.91844,  -0.43192
-1464.70315,  -0.39918
-1457.48786,  -0.36343
-1450.27258,  -0.33902
-1443.05729,  -0.33828
-1435.84201,  -0.36531
-1428.62672,  -0.38131
-1421.41143,  -0.39347
-1414.19615,  -0.40932
-1406.98086,  -0.42699
-1399.76557,  -0.45433
-1392.55029,  -0.49576
-1385.33500,  -0.53335
-1378.11971,  -0.58577
-1370.90443,  -0.64459
-1363.68914,  -0.68530
-1356.47385,  -0.71705
-1349.25857,  -0.74802
-1342.04328,  -0.77109
-1334.82800,  -0.78077
-1327.61271,  -0.78723
-1320.39742,  -0.79261
-1313.18214,  -0.78328
-1305.96685,  -0.77139
-1298.75156,  -0.75878
-1291.53628,  -0.75948
-1284.32099,  -0.77018
-1277.10570,  -0.77734
-1269.89042,  -0.77825
-1262.67513,  -0.77849
-1255.45984,  -0.79169
-1248.24456,  -0.79766
-1241.02927,  -0.78286
-1233.81398,  -0.77289
-1226.59870,  -0.75720
-1219.38341,  -0.75412
-1212.16813,  -0.76477
-1204.95284,  -0.77546
-1197.73755,  -0.78495
-1190.52227,  -0.79539
-1183.30698,  -0.79947
-1176.09169,  -0.80368
-1168.87641,  -0.79898
-1161.66112,  -0.79277
-1154.44583,  -0.78375
-1147.23055,  -0.78104
-1140.01526,  -0.77817
-1132.79997,  -0.76869
-1125.58469,  -0.75274
-1118.36940,  -0.73304
-1111.15411,  -0.72049
-1103.93883,  -0.71362
-1096.72354,  -0.71737
-1089.50826,  -0.72118
-1082.29297,  -0.72650
-1075.07768,  -0.72536
-1067.86240,  -0.71934
-1060.64711,  -0.71841
-1053.43182,  -0.72828
-1046.21654,  -0.74544
-1039.00125,  -0.76267
-1031.78596,  -0.77166
-1024.57068,  -0.77404
-1017.35539,  -0.77592
-1010.14010,  -0.77953
-1002.92482,  -0.78353
-995.70953,  -0.78177
-988.49424,  -0.77973
-981.27896,  -0.77725
-974.06367,  -0.77100
-966.84839,  -0.76264
-959.63310,  -0.75356
-952.41781,  -0.73689
-945.20253,  -0.72116
-937.98724,  -0.71584
-930.77195,  -0.70989
-923.55667,  -0.70288
-916.34138,  -0.69176
-909.12609,  -0.67677
-901.91081,  -0.66090
-894.69552,  -0.64579
-887.48023,  -0.62451
-880.26495,  -0.59834
-873.04966,  -0.57120
-865.83438,  -0.53896
-858.61909,  -0.49741
-851.40380,  -0.45639
-844.18852,  -0.41740
-836.97323,  -0.39490
-829.75794,  -0.38628
-822.54266,  -0.38933
-815.32737,  -0.39392
