#CCCD,CCPD
-1930.43519,-1933.69677
 112.17294, 108.22930
1933.69677,1933.69677
 101.99466,  93.79872
1923.10537,1926.48148
-1923.01088,-1926.48148
-1933.69677,-1933.69677
1940.91206,1940.91206
1923.25968,1926.48148
1912.05091,1912.05091
1962.55792,1962.55792
 104.39626, 101.01401
-1922.97617,-1926.48148
1912.05091,1912.05091
1940.91206,1940.91206
1926.25854,1926.48148
-1915.97953,-1919.26620
-1912.20033,-1912.05091
-1904.72786,-1904.83563
-1940.91206,-1940.91206
-1904.83563,-1904.83563
1937.44930,1940.91206
-1937.56961,-1940.91206
 105.43456, 101.01401
-1926.89156,-1940.91206
-1933.69677,-1933.69677
-1920.28997,-1940.91206
-1915.79970,-1919.26620
  90.07598,  93.79872
-1937.63349,-1940.91206
-1933.69677,-1933.69677
 104.72509, 101.01401
 108.22993, 101.01401
 100.99212, 101.01401
1948.12734,1948.12734
1955.34263,1955.34263
 101.89436,  93.79872
 102.12210, 101.01401
-1933.69677,-1933.69677
-1922.88387,-1926.48148
 112.04360, 101.01401
-1940.91206,-1940.91206
-1904.46632,-1897.62034
-1919.43588,-1933.69677
 112.14811, 101.01401
-1926.55670,-1926.48148
1940.91206,1940.91206
-1933.69677,-1933.69677
1944.54173,1948.12734
-1923.00071,-1926.48148
-1912.42977,-1919.26620
-1922.67459,-1919.26620
-1941.28175,-1948.12734
1940.91206,1940.91206
1930.33715,1933.69677
-1922.99459,-1926.48148
-1923.06527,-1926.48148
 114.92740, 101.01401
  97.99423, 101.01401
-1916.02234,-1919.26620
1930.43160,1933.69677
-1930.13113,-1933.69677
-1933.69677,-1933.69677
1962.55792,1962.55792
 108.06766, 101.01401
 108.01981, 101.01401
-1923.24551,-1926.48148
 105.64099, 101.01401
-1933.69677,-1933.69677
-1933.69677,-1933.69677
-1940.91206,-1940.91206
1923.03551,1926.48148
-1937.45869,-1940.91206
-1908.42443,-1912.05091
-1955.34263,-1955.34263
1933.69677,1933.69677
-1923.10600,-1926.48148
-1933.69677,-1933.69677
-1923.24094,-1919.26620
1933.69677,1933.69677
 107.66282, 101.01401
  97.90304, 101.01401
-1929.90225,-1926.48148
1926.25956,1926.48148
 112.26118, 101.01401
  97.58811, 101.01401
1919.26620,1919.26620
-1912.67138,-1926.48148
-1962.55792,-1962.55792
 111.96731, 101.01401
 104.64882, 101.01401
 115.00939, 101.01401
 104.16967,  93.79872
-1919.26620,-1919.26620
-1936.92930,-1933.69677
 104.04505, 101.01401
  86.96158,  93.79872
-1933.69677,-1933.69677
1940.91206,1940.91206
-1912.23425,-1912.05091
1933.69677,1933.69677
  97.85424, 101.01401
-1919.56296,-1919.26620
1937.53940,1940.91206
-1937.67723,-1948.12734
-1933.69677,-1933.69677
1940.91206,1940.91206
-1930.24708,-1940.91206
-1941.10815,-1948.12734
-1912.10151,-1912.05091
-1933.69677,-1933.69677
-1908.24450,-1904.83563
1940.91206,1940.91206
 101.52802, 101.01401
