#Lag,CCF
-1976.98849,   0.00000
-1969.77320,   0.00000
-1962.55792,  -1.00000
-1955.34263,  -0.90739
-1948.12734,  -0.94026
-1940.91206,  -0.88925
-1933.69677,  -0.61768
-1926.48148,  -0.24109
-1919.26620,  -0.00285
-1912.05091,   0.13012
-1904.83563,   0.36924
-1897.62034,  -0.00294
-1890.40505,   0.61981
-1883.18977,   0.65959
-1875.97448,   0.43807
-1868.75919,   0.28662
-1861.54391,   0.11804
-1854.32862,  -0.13642
-1847.11333,  -0.23225
-1839.89805,  -0.33433
-1832.68276,  -0.43501
-1825.46747,  -0.50043
-1818.25219,  -0.55028
-1811.03690,  -0.64706
-1803.82161,  -0.66636
-1796.60633,  -0.56816
-1789.39104,  -0.38441
-1782.17576,  -0.13574
-1774.96047,   0.08632
-1767.74518,   0.14849
-1760.52990,   0.27956
-1753.31461,   0.39542
-1746.09932,   0.55088
-1738.88404,   0.75077
-1731.66875,   0.78663
-1724.45346,   0.65630
-1717.23818,   0.50492
-1710.02289,   0.37469
-1702.80760,   0.21865
-1695.59232,   0.07723
-1688.37703,  -0.05281
-1681.16175,  -0.31022
-1673.94646,  -0.56807
-1666.73117,  -0.67639
-1659.51589,  -0.69773
-1652.30060,  -0.53054
-1645.08531,  -0.31786
-1637.87003,  -0.19493
-1630.65474,  -0.18210
-1623.43945,  -0.29589
-1616.22417,  -0.26317
-1609.00888,  -0.35569
-1601.79359,  -0.32170
-1594.57831,  -0.29066
-1587.36302,  -0.31849
-1580.14773,  -0.27941
-1572.93245,  -0.21948
-1565.71716,  -0.12238
-1558.50188,   0.00458
-1551.28659,   0.06944
-1544.07130,   0.04865
-1536.85602,  -0.02828
-1529.64073,  -0.09653
-1522.42544,  -0.12432
-1515.21016,  -0.20236
-1507.99487,  -0.28211
-1500.77958,  -0.35348
-1493.56430,  -0.42327
-1486.34901,  -0.49987
-1479.13372,  -0.54436
-1471.91844,  -0.59582
-1464.70315,  -0.60704
-1457.48786,  -0.62247
-1450.27258,  -0.61980
-1443.05729,  -0.60259
-1435.84201,  -0.56803
-1428.62672,  -0.52520
-1421.41143,  -0.47898
-1414.19615,  -0.44139
-1406.98086,  -0.41516
-1399.76557,  -0.42554
-1392.55029,  -0.44476
-1385.33500,  -0.45199
-1378.11971,  -0.46927
-1370.90443,  -0.46266
-1363.68914,  -0.46900
-1356.47385,  -0.48301
-1349.25857,  -0.50094
-1342.04328,  -0.52237
-1334.82800,  -0.54068
-1327.61271,  -0.55790
-1320.39742,  -0.58180
-1313.18214,  -0.59387
-1305.96685,  -0.60148
-1298.75156,  -0.60904
-1291.53628,  -0.62356
-1284.32099,  -0.64432
-1277.10570,  -0.66269
-1269.89042,  -0.67234
-1262.67513,  -0.67483
-1255.45984,  -0.68181
-1248.24456,  -0.69133
-1241.02927,  -0.69143
-1233.81398,  -0.69791
-1226.59870,  -0.69126
-1219.38341,  -0.68508
-1212.16813,  -0.68415
-1204.95284,  -0.68040
-1197.73755,  -0.67780
-1190.52227,  -0.68221
-1183.30698,  -0.69304
-1176.09169,  -0.72029
-1168.87641,  -0.74772
-1161.66112,  -0.77835
-1154.44583,  -0.80029
-1147.23055,  -0.81612
-1140.01526,  -0.82730
-1132.79997,  -0.83664
-1125.58469,  -0.84798
-1118.36940,  -0.86011
-1111.15411,  -0.86338
-1103.93883,  -0.85407
-1096.72354,  -0.82953
-1089.50826,  -0.81537
-1082.29297,  -0.80160
-1075.07768,  -0.78811
-1067.86240,  -0.78236
-1060.64711,  -0.77754
-1053.43182,  -0.77342
-1046.21654,  -0.77328
-1039.00125,  -0.77553
-1031.78596,  -0.77841
-1024.57068,  -0.77130
-1017.35539,  -0.75076
-1010.14010,  -0.73775
-1002.92482,  -0.73496
-995.70953,  -0.73903
-988.49424,  -0.74206
-981.27896,  -0.74217
-974.06367,  -0.74172
-966.84839,  -0.74063
-959.63310,  -0.73942
-952.41781,  -0.74269
-945.20253,  -0.73483
-937.98724,  -0.73332
-930.77195,  -0.73143
-923.55667,  -0.72074
-916.34138,  -0.70960
-909.12609,  -0.70294
-901.91081,  -0.70063
-894.69552,  -0.70741
-887.48023,  -0.71583
-880.26495,  -0.72133
-873.04966,  -0.72485
-865.83438,  -0.72689
-858.61909,  -0.71901
-851.40380,  -0.71888
-844.18852,  -0.72205
-836.97323,  -0.72607
-829.75794,  -0.72684
-822.54266,  -0.72770
-815.32737,  -0.73355
-808.11208,  -0.73748
