#CCCD,CCPD
 256.07056, 252.53503
 269.86974, 252.53503
 252.38750, 245.31974
 252.68577, 252.53503
1951.77534,1955.34263
1944.33974,1940.91206
 252.28544, 252.53503
1940.91206,1940.91206
-1926.48148,-1926.48148
 249.15672, 252.53503
1923.20871,1926.48148
1912.05091,1912.05091
 263.16810, 252.53503
 259.50801, 252.53503
1897.63506,1897.62034
-1890.40505,-1890.40505
 259.17799, 252.53503
 225.53006, 252.53503
-1904.83563,-1904.83563
1912.05091,1912.05091
-1901.37582,-1904.83563
 252.80086, 252.53503
-1731.71930,-1731.66875
-1893.63063,-1890.40505
1940.91206,1940.91206
 262.89923, 252.53503
1915.87934,1919.26620
 256.07333, 252.53503
 256.05486, 252.53503
 259.55246, 252.53503
-1912.18126,-1919.26620
1944.79626,1948.12734
 263.14679, 252.53503
1948.18406,1955.34263
 252.23424, 245.31974
1944.75393,1948.12734
 262.97038, 252.53503
1955.34263,1955.34263
1933.69677,1933.69677
 263.25993, 252.53503
 255.94358, 252.53503
1919.26620,1919.26620
1933.69677,1933.69677
 262.88454, 252.53503
-1886.71846,-1883.18977
 259.76833, 252.53503
-1901.46899,-1904.83563
 263.07409, 252.53503
 266.46197, 252.53503
 259.61384, 252.53503
 259.35882, 252.53503
 259.54439, 252.53503
-1912.05091,-1912.05091
-1926.48148,-1926.48148
-1890.38203,-1890.40505
 252.49292, 252.53503
 259.45830, 252.53503
1919.26620,1919.26620
 241.93769, 245.31974
1940.91206,1940.91206
1919.26620,1919.26620
 259.35145, 252.53503
-1926.48148,-1926.48148
1944.68624,1948.12734
 256.13188, 252.53503
 262.69878, 252.53503
 259.71434, 252.53503
-1912.05091,-1912.05091
1940.91206,1940.91206
-1933.69677,-1933.69677
 236.27172, 252.53503
-1911.90322,-1912.05091
 217.71202, 245.31974
-1894.06247,-1897.62034
 259.58089, 252.53503
 256.06864, 252.53503
 259.48351, 252.53503
 259.59083, 252.53503
1940.91206,1940.91206
1919.26620,1919.26620
 252.64753, 252.53503
-1904.83563,-1904.83563
-1897.81995,-1904.83563
-1926.48148,-1926.48148
-1893.91299,-1890.40505
 245.69651, 245.31974
 256.00427, 252.53503
-1738.93766,-1738.88404
 259.23165, 252.53503
-1890.40505,-1890.40505
 262.97538, 252.53503
 255.85335, 252.53503
1926.68547,1933.69677
-1731.90679,-1731.66875
 256.11630, 252.53503
 252.71969, 252.53503
 252.33377, 252.53503
 252.77554, 252.53503
 259.54710, 252.53503
 266.14068, 252.53503
 266.88807, 252.53503
 255.89091, 252.53503
 269.91764, 252.53503
 252.49827, 252.53503
-1728.44044,-1731.66875
1933.69677,1933.69677
-1901.12013,-1897.62034
 259.31032, 252.53503
1926.48148,1926.48148
 263.07576, 252.53503
 263.26742, 259.75031
 255.87633, 245.31974
-1745.93722,-1738.88404
1890.40505,1890.40505
 263.02080, 252.53503
-1883.59616,-1883.18977
-1933.69677,-1933.69677
1940.91206,1940.91206
 262.91483, 252.53503
 255.83438, 252.53503
-1887.11847,-1890.40505
-1940.91206,-1940.91206
 259.21128, 252.53503
-1912.05091,-1912.05091
1897.62034,1897.62034
 238.75826, 252.53503
1908.48784,1912.05091
-1890.40505,-1890.40505
 249.24032, 252.53503
 259.23852, 252.53503
 262.87977, 252.53503
 259.62444, 252.53503
-1894.07673,-1897.62034
 259.53076, 252.53503
1940.91206,1940.91206
-1908.18490,-1904.83563
 259.79263, 252.53503
1940.91206,1940.91206
-1933.69677,-1933.69677
 252.46052, 252.53503
 259.46692, 252.53503
 259.63108, 252.53503
-1890.40505,-1890.40505
-1915.48086,-1912.05091
-1923.21019,-1926.48148
-1887.07945,-1890.40505
 259.18324, 252.53503
 259.73796, 252.53503
1948.12734,1948.12734
-1919.26620,-1919.26620
1937.05722,1933.69677
 256.03026, 252.53503
1926.48148,1926.48148
 270.24196, 259.75031
 273.65007, 252.53503
-1908.81156,-1912.05091
 259.31323, 252.53503
 263.10119, 252.53503
 259.35309, 252.53503
-1887.11203,-1890.40505
 259.70849, 252.53503
 259.32242, 252.53503
-1890.56612,-1890.40505
 252.21423, 252.53503
1955.34263,1955.34263
 255.58829, 245.31974
 256.19996, 252.53503
 266.27767, 252.53503
 259.50594, 252.53503
-1904.83563,-1904.83563
-1886.93007,-1890.40505
-1955.34263,-1955.34263
1948.14753,1955.34263
 269.99658, 252.53503
1926.48148,1926.48148
1940.91206,1940.91206
 263.26092, 252.53503
 259.92943, 252.53503
1940.91206,1940.91206
1926.48148,1926.48148
-1897.47139,-1897.62034
 266.20850, 252.53503
1933.69677,1933.69677
1919.26620,1919.26620
 259.17714, 252.53503
1919.26620,1919.26620
 245.50252, 252.53503
1919.26620,1919.26620
1940.91206,1940.91206
-1731.46063,-1731.66875
1912.05091,1912.05091
-1908.42473,-1904.83563
1922.58185,1919.26620
 259.42566, 252.53503
 252.53964, 252.53503
-1738.52778,-1738.88404
 255.80144, 252.53503
 225.50103, 252.53503
 249.08673, 252.53503
 256.03455, 245.31974
 259.33940, 252.53503
 259.29760, 252.53503
1912.05091,1912.05091
 255.87635, 252.53503
 259.46196, 252.53503
1919.26620,1919.26620
-1890.40505,-1890.40505
 255.91902, 252.53503
 256.10045, 252.53503
1919.26620,1919.26620
1919.26620,1919.26620
