#x,y,yerr,mask
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
8.004,2.65139,0.02713,True
