# PLIKE V4.0 ZDCF peak likelihood analysis
# for file /home/stone28/pypetal/tot_output/ha/pyzdcf/ha_zdcf.dcf
#
# num      lag         r         -dr        +dr    likelihood
# ---- ---------- ---------- ---------- ---------- ----------
     1 -9.737E+02  1.925E-01  1.899E-01  1.827E-01  0.000E+00
     2 -9.451E+02  1.510E-01  2.185E-01  2.110E-01  0.000E+00
     3 -9.182E+02 -1.029E-01  2.149E-01  2.200E-01  0.000E+00
     4 -8.943E+02 -3.906E-01  1.667E-01  1.811E-01  0.000E+00
     5 -8.679E+02 -3.014E-01  1.594E-01  1.686E-01  0.000E+00
     6 -8.423E+02 -3.416E-01  1.415E-01  1.500E-01  0.000E+00
     7 -8.141E+02 -3.442E-01  1.207E-01  1.268E-01  0.000E+00
     8 -7.855E+02 -4.466E-01  9.971E-02  1.057E-01  0.000E+00
     9 -7.654E+02 -4.871E-01  9.118E-02  9.689E-02  0.000E+00
    10 -7.354E+02 -4.276E-01  9.275E-02  9.755E-02  0.000E+00
    11 -6.868E+02 -6.457E-01  7.052E-02  7.656E-02  0.000E+00
    12 -6.596E+02 -6.593E-01  7.776E-02  8.563E-02  0.000E+00
    13 -6.345E+02 -5.577E-01  1.055E-01  1.156E-01  0.000E+00
    14 -6.071E+02 -5.533E-01  1.266E-01  1.413E-01  0.000E+00
    15 -5.743E+02 -6.639E-01  1.133E-01  1.315E-01  0.000E+00
    16 -5.448E+02 -3.493E-01  1.895E-01  2.057E-01  0.000E+00
    17 -5.267E+02 -3.096E-01  1.795E-01  1.917E-01  0.000E+00
    18 -5.030E+02 -2.003E-01  1.674E-01  1.736E-01  0.000E+00
    19 -4.798E+02 -1.463E-01  1.498E-01  1.533E-01  0.000E+00
    20 -4.529E+02 -2.347E-01  1.257E-01  1.298E-01  0.000E+00
    21 -4.230E+02 -7.929E-02  1.211E-01  1.223E-01  0.000E+00
    22 -3.959E+02 -8.792E-02  1.135E-01  1.146E-01  0.000E+00
    23 -3.659E+02 -4.104E-02  1.102E-01  1.107E-01  0.000E+00
    24 -3.272E+02 -2.619E-02  1.170E-01  1.174E-01  0.000E+00
    25 -2.968E+02  6.934E-03  1.341E-01  1.339E-01  0.000E+00
    26 -2.682E+02  1.804E-02  1.532E-01  1.528E-01  0.000E+00
    27 -2.265E+02 -8.406E-02  1.839E-01  1.869E-01  1.715E-11
    28 -1.924E+02 -5.268E-02  2.354E-01  2.386E-01  5.043E-08
    29 -1.720E+02  6.848E-02  2.386E-01  2.345E-01  5.665E-07
    30 -1.581E+02  2.842E-01  2.261E-01  2.105E-01  2.741E-05
    31 -1.328E+02  3.151E-01  1.701E-01  1.603E-01  1.066E-06
    32 -1.139E+02  2.344E-01  1.491E-01  1.436E-01  2.306E-09
    33 -9.398E+01  3.027E-01  1.290E-01  1.236E-01  1.886E-09
    34 -8.757E+01  3.393E-01  1.171E-01  1.119E-01  1.423E-09
    35 -6.356E+01  4.112E-01  1.020E-01  9.701E-02  6.366E-09
    36 -3.540E+01  5.271E-01  8.219E-02  7.750E-02  4.507E-07
    37 -7.828E+00  6.187E-01  6.885E-02  6.437E-02  3.169E-05
    38  2.822E+01  6.851E-01  6.421E-02  5.926E-02  1.039E-03
    39  4.950E+01  7.649E-01  5.228E-02  4.765E-02  2.284E-02
    40  7.414E+01  8.190E-01  4.731E-02  4.229E-02  1.331E-01
    41  1.003E+02  7.851E-01  6.624E-02  5.825E-02  6.163E-02
    42  1.244E+02  7.885E-01  7.284E-02  6.311E-02  7.327E-02
    43  1.453E+02  7.465E-01  9.751E-02  8.348E-02  3.707E-02
    44  1.699E+02  6.596E-01  1.363E-01  1.171E-01  9.962E-03
    45  1.991E+02  6.800E-01  1.152E-01  1.002E-01  9.784E-03
    46  2.294E+02  6.639E-01  9.453E-02  8.485E-02  2.681E-03
    47  2.630E+02  6.431E-01  8.112E-02  7.442E-02  4.651E-04
    48  2.949E+02  6.685E-01  6.833E-02  6.307E-02  5.992E-04
    49  3.334E+02  6.750E-01  6.203E-02  5.757E-02  4.899E-04
    50  3.675E+02  6.297E-01  7.385E-02  6.852E-02  1.148E-04
    51  3.973E+02  5.850E-01  8.753E-02  8.113E-02  3.962E-05
    52  4.236E+02  5.506E-01  1.110E-01  1.019E-01  6.981E-05
    53  4.430E+02  4.613E-01  1.368E-01  1.264E-01  1.378E-05
    54  4.678E+02  5.571E-01  1.567E-01  1.385E-01  1.283E-03
    55  4.825E+02  4.005E-01  2.091E-01  1.893E-01  1.913E-04
    56  4.996E+02  3.784E-01  2.434E-01  2.184E-01  4.414E-04
    57  5.138E+02  2.934E-01  3.074E-01  2.773E-01  6.800E-04
    58  5.308E+02  4.083E-01  3.020E-01  2.597E-01  2.984E-03
    59  5.646E+02  2.494E-01  2.297E-01  2.158E-01  1.507E-05
    60  5.959E+02  3.650E-01  1.737E-01  1.615E-01  8.404E-06
    61  6.225E+02  2.905E-01  1.433E-01  1.369E-01  1.259E-08
    62  6.515E+02  2.797E-01  1.225E-01  1.181E-01  1.211E-10
    63  6.808E+02  2.501E-01  1.124E-01  1.091E-01  1.011E-12
    64  7.088E+02  1.816E-01  1.116E-01  1.093E-01  0.000E+00
    65  7.346E+02  1.750E-01  1.133E-01  1.110E-01  0.000E+00
    66  7.652E+02 -4.328E-02  1.299E-01  1.307E-01  0.000E+00
    67  7.812E+02 -1.805E-02  1.376E-01  1.379E-01  0.000E+00
    68  8.002E+02 -5.020E-02  1.503E-01  1.515E-01  0.000E+00
    69  8.205E+02 -2.168E-01  1.713E-01  1.784E-01  0.000E+00
    70  8.386E+02 -2.154E-01  1.875E-01  1.962E-01  0.000E+00
    71  8.629E+02 -3.761E-01  2.267E-01  2.538E-01  0.000E+00
    72  8.858E+02 -4.754E-01  2.172E-01  2.537E-01  0.000E+00
    73  9.203E+02 -1.546E-01  3.040E-01  3.211E-01  0.000E+00
    74  9.435E+02 -1.431E-01  2.024E-01  2.088E-01  0.000E+00
    75  9.844E+02 -9.079E-02  1.412E-01  1.431E-01  0.000E+00
#
# ML Peak at t_lag =  +7.414E+01, Likelihood at peak =  +1.331E-01
# 1 sigma ML t_lag interval =  +7.414E+01  +5.517E+01  -1.508E+01
#                           = ( +5.906E+01 ,  +1.293E+02)
