# PLIKE V4.0 ZDCF peak likelihood analysis
# for file /home/stone28/pypetal/tot_output/hb/pyzdcf/hb_zdcf.dcf
#
# num      lag         r         -dr        +dr    likelihood
# ---- ---------- ---------- ---------- ---------- ----------
     1 -9.737E+02 -2.810E-02  1.929E-01  1.940E-01  0.000E+00
     2 -9.451E+02 -1.026E-01  2.149E-01  2.200E-01  0.000E+00
     3 -9.182E+02 -4.234E-01  1.714E-01  1.888E-01  0.000E+00
     4 -8.943E+02 -5.933E-01  1.244E-01  1.410E-01  0.000E+00
     5 -8.679E+02 -5.241E-01  1.244E-01  1.370E-01  0.000E+00
     6 -8.423E+02 -5.469E-01  1.102E-01  1.208E-01  0.000E+00
     7 -8.141E+02 -4.687E-01  1.058E-01  1.132E-01  0.000E+00
     8 -7.855E+02 -5.332E-01  8.860E-02  9.495E-02  0.000E+00
     9 -7.654E+02 -5.762E-01  7.938E-02  8.529E-02  0.000E+00
    10 -7.354E+02 -5.262E-01  8.156E-02  8.677E-02  0.000E+00
    11 -6.868E+02 -6.979E-01  6.180E-02  6.753E-02  0.000E+00
    12 -6.596E+02 -6.906E-01  7.176E-02  7.938E-02  0.000E+00
    13 -6.345E+02 -6.149E-01  9.477E-02  1.048E-01  0.000E+00
    14 -6.071E+02 -6.145E-01  1.128E-01  1.274E-01  0.000E+00
    15 -5.743E+02 -7.517E-01  8.709E-02  1.030E-01  0.000E+00
    16 -5.448E+02 -3.899E-01  1.820E-01  1.995E-01  0.000E+00
    17 -5.267E+02 -3.069E-01  1.799E-01  1.920E-01  0.000E+00
    18 -5.030E+02 -2.348E-01  1.642E-01  1.714E-01  0.000E+00
    19 -4.798E+02 -1.835E-01  1.475E-01  1.518E-01  0.000E+00
    20 -4.529E+02 -2.220E-01  1.266E-01  1.305E-01  0.000E+00
    21 -4.230E+02 -8.497E-02  1.209E-01  1.222E-01  0.000E+00
    22 -3.959E+02 -9.466E-02  1.133E-01  1.146E-01  0.000E+00
    23 -3.659E+02 -7.190E-02  1.096E-01  1.105E-01  0.000E+00
    24 -3.272E+02 -1.933E-02  1.171E-01  1.174E-01  0.000E+00
    25 -2.968E+02 -6.792E-03  1.340E-01  1.341E-01  0.000E+00
    26 -2.682E+02 -3.079E-02  1.526E-01  1.533E-01  0.000E+00
    27 -2.265E+02 -1.197E-01  1.819E-01  1.861E-01  0.000E+00
    28 -1.924E+02 -1.232E-02  2.373E-01  2.380E-01  0.000E+00
    29 -1.720E+02 -2.005E-02  2.370E-01  2.382E-01  0.000E+00
    30 -1.581E+02  4.518E-01  1.993E-01  1.782E-01  0.000E+00
    31 -1.328E+02  4.553E-01  1.515E-01  1.390E-01  0.000E+00
    32 -1.139E+02  3.794E-01  1.365E-01  1.285E-01  0.000E+00
    33 -9.398E+01  4.679E-01  1.121E-01  1.050E-01  0.000E+00
    34 -8.757E+01  4.456E-01  1.067E-01  1.006E-01  1.546E-11
    35 -6.356E+01  5.297E-01  8.886E-02  8.334E-02  2.113E-10
    36 -3.540E+01  6.625E-01  6.429E-02  5.972E-02  1.879E-07
    37 -7.828E+00  7.859E-01  4.298E-02  3.948E-02  4.624E-04
    38  2.822E+01  8.255E-01  3.881E-02  3.525E-02  6.472E-03
    39  4.950E+01  8.717E-01  3.043E-02  2.739E-02  7.171E-02
    40  7.414E+01  9.010E-01  2.717E-02  2.403E-02  2.607E-01
    41  1.003E+02  8.231E-01  5.582E-02  4.879E-02  1.493E-02
    42  1.244E+02  7.847E-01  7.396E-02  6.412E-02  5.526E-03
    43  1.453E+02  7.313E-01  1.023E-01  8.785E-02  2.097E-03
    44  1.699E+02  7.089E-01  1.205E-01  1.024E-01  2.011E-03
    45  1.991E+02  7.693E-01  8.808E-02  7.533E-02  5.405E-03
    46  2.294E+02  7.353E-01  7.800E-02  6.924E-02  5.112E-04
    47  2.630E+02  6.445E-01  8.087E-02  7.418E-02  1.134E-06
    48  2.949E+02  6.251E-01  7.509E-02  6.967E-02  6.071E-08
    49  3.334E+02  5.318E-01  8.113E-02  7.649E-02  2.222E-11
    50  3.675E+02  4.626E-01  9.534E-02  9.021E-02  0.000E+00
    51  3.973E+02  4.017E-01  1.104E-01  1.048E-01  0.000E+00
    52  4.236E+02  2.969E-01  1.428E-01  1.363E-01  0.000E+00
    53  4.430E+02  1.755E-01  1.647E-01  1.598E-01  0.000E+00
    54  4.678E+02  2.693E-01  2.050E-01  1.930E-01  0.000E+00
    55  4.825E+02  5.740E-02  2.386E-01  2.352E-01  0.000E+00
    56  4.996E+02  1.666E-02  2.706E-01  2.693E-01  0.000E+00
    57  5.138E+02 -1.294E-02  3.195E-01  3.210E-01  0.000E+00
    58  5.308E+02  4.678E-01  2.856E-01  2.405E-01  0.000E+00
    59  5.646E+02  8.945E-02  2.384E-01  2.331E-01  0.000E+00
    60  5.959E+02  2.292E-01  1.875E-01  1.791E-01  0.000E+00
    61  6.225E+02  1.453E-01  1.515E-01  1.481E-01  0.000E+00
    62  6.515E+02  1.139E-01  1.298E-01  1.279E-01  0.000E+00
    63  6.808E+02  4.374E-02  1.182E-01  1.176E-01  0.000E+00
    64  7.088E+02 -2.514E-02  1.140E-01  1.143E-01  0.000E+00
    65  7.346E+02 -5.348E-02  1.150E-01  1.158E-01  0.000E+00
    66  7.652E+02 -2.666E-01  1.191E-01  1.234E-01  0.000E+00
    67  7.812E+02 -2.159E-01  1.293E-01  1.333E-01  0.000E+00
    68  8.002E+02 -2.271E-01  1.409E-01  1.460E-01  0.000E+00
    69  8.205E+02 -3.208E-01  1.595E-01  1.695E-01  0.000E+00
    70  8.386E+02 -4.416E-01  1.543E-01  1.691E-01  0.000E+00
    71  8.629E+02 -5.509E-01  1.787E-01  2.102E-01  0.000E+00
    72  8.858E+02 -5.200E-01  2.031E-01  2.405E-01  0.000E+00
    73  9.203E+02 -2.787E-01  2.807E-01  3.095E-01  0.000E+00
    74  9.435E+02 -3.360E-01  1.792E-01  1.929E-01  0.000E+00
    75  9.844E+02 -2.776E-01  1.296E-01  1.349E-01  0.000E+00
#
# ML Peak at t_lag =  +7.414E+01, Likelihood at peak =  +2.607E-01
# 1 sigma ML t_lag interval =  +7.414E+01  +1.505E+01  -1.802E+01
#                           = ( +5.612E+01 ,  +8.919E+01)
