#x,y,yerr,mask
54952.562,2.896,0.1001,False
54993.39,2.746,0.05879,False
54994.341,2.546,0.06805,False
55213.644,2.593,0.06818,False
55221.639,2.746,0.03603,False
55221.651,2.614,0.03203,False
55222.639,2.824,0.05963,False
55230.653,2.884,0.1455,False
55230.666,2.912,0.1036,False
55231.61,2.746,0.077,False
55234.59,3.0,0.2758,False
55236.626,2.823,0.03769,False
55236.642,2.772,0.04051,False
55237.654,2.705,0.06906,False
55239.612,2.739,0.03487,False
55239.626,2.725,0.02961,False
55240.6,2.623,0.08597,False
55242.648,2.794,0.04474,False
55243.576,3.033,0.07114,False
55246.55,3.032,0.06773,False
55258.602,2.839,0.0711,False
55272.6,2.914,0.03566,False
55272.614,2.957,0.03536,False
55275.547,2.919,0.06039,False
55275.559,3.132,0.04452,False
55276.58,3.097,0.06203,False
55281.456,3.066,0.1296,False
55288.504,3.228,0.1384,False
55303.588,3.111,0.0616,False
55305.463,3.14,0.08735,False
55326.519,3.202,0.05118,False
55326.532,3.274,0.05554,False
55327.453,3.079,0.06297,False
55329.517,3.34,0.07543,False
55330.403,3.15,0.1158,False
55332.341,3.202,0.02828,False
55332.358,3.115,0.0382,False
55347.403,3.158,0.06443,False
55347.417,3.13,0.05434,False
55348.39,3.303,0.05189,False
55350.323,3.186,0.02609,False
55350.336,3.169,0.03299,False
55353.378,3.054,0.03144,True
55353.394,3.172,0.0338,False
55354.291,3.284,0.05591,False
55362.292,3.251,0.02883,False
55362.305,3.238,0.03567,False
55363.3,3.253,0.05683,False
55365.293,3.19,0.04279,False
55365.305,3.17,0.03087,False
55366.309,3.266,0.05985,False
55368.368,3.277,0.05925,False
55368.382,3.245,0.05568,False
55377.362,3.171,0.05481,False
55377.377,3.251,0.06345,False
55378.328,3.236,0.05931,False
55389.272,3.319,0.03107,False
55389.284,3.239,0.03749,False
55593.614,4.263,0.08692,False
55594.598,3.94,0.1057,False
55596.65,4.232,0.04963,False
55596.664,4.133,0.03296,False
55597.64,4.068,0.08683,False
55602.588,4.065,0.04389,False
55629.622,3.955,0.0401,False
55629.635,3.912,0.06127,False
55633.593,3.737,0.1021,False
55635.596,4.045,0.05882,False
55636.557,4.199,0.1282,False
55650.605,3.729,0.06824,False
55651.566,3.66,0.06925,False
55653.544,3.689,0.08834,False
55653.557,3.917,0.04763,False
55654.628,4.022,0.2215,False
55665.448,3.725,0.05793,False
55666.562,3.695,0.0883,False
55672.486,3.617,0.08365,False
55674.431,3.721,0.09414,False
55674.439,3.62,0.0464,False
55675.407,3.661,0.072,False
55677.434,3.579,0.03155,False
55677.447,3.611,0.03586,False
55705.315,3.444,0.05461,False
55710.336,3.466,0.03151,False
55710.348,3.509,0.03451,False
55711.343,3.294,0.09559,False
55719.351,3.439,0.03157,False
55719.363,3.377,0.03723,False
55723.324,3.375,0.07538,False
55732.363,3.919,0.2559,False
55741.294,3.339,0.0528,False
55743.298,3.396,0.03409,False
55743.31,3.431,0.03849,False
55744.3,3.481,0.05703,False
