#x,y,yerr,mask
56660.209,662.6,8.089,False
56664.513,667.9,9.226,False
56669.5,643.7,13.96,False
56683.48,672.6,7.263,False
56686.473,693.2,7.815,False
56696.778,662.0,6.701,False
56713.426,687.2,29.24,False
56715.388,676.9,6.59,False
56717.334,683.4,6.587,False
56720.446,684.2,6.622,False
56722.387,673.5,5.79,False
56726.457,688.2,6.626,False
56739.41,688.8,5.952,False
56745.281,672.6,6.021,False
56747.416,687.7,7.334,False
56749.373,688.3,6.438,False
56751.34,685.7,6.313,False
56755.341,700.4,7.25,False
56768.227,703.0,6.275,False
56772.234,678.5,6.071,False
56780.234,712.7,6.222,False
56782.247,706.3,6.345,False
56783.248,704.9,6.099,False
56795.175,695.5,6.892,False
56799.212,710.3,6.219,False
56804.187,719.4,7.123,False
56808.259,742.2,7.607,False
56813.227,735.8,6.375,False
56825.186,740.3,6.382,False
56829.211,748.7,6.478,False
56833.21,757.6,6.696,False
56837.189,762.4,6.077,False
57038.487,767.9,9.17,False
57050.294,787.7,7.926,False
57067.372,777.3,8.203,False
57082.473,801.6,8.208,False
57097.48,822.8,10.32,False
57106.472,800.6,7.74,False
57127.217,827.2,8.554,False
57135.173,806.1,7.932,False
57159.165,798.3,8.091,False
57166.165,817.2,8.231,False
57185.171,816.6,7.812,False
57195.598,846.0,6.834,False
57428.45,933.2,8.845,False
57435.404,927.4,9.611,False
57451.456,967.6,9.172,False
57463.401,1025.0,9.296,False
57480.602,1010.0,9.145,False
57490.225,1012.0,12.62,False
57492.342,1038.0,9.601,False
57510.319,1068.0,9.402,False
57518.313,998.9,7.777,False
57543.453,1049.0,8.961,False
57550.163,1040.0,16.48,False
57570.201,1023.0,10.41,False
57576.163,1067.0,12.46,False
57780.773,1070.0,9.311,False
57789.442,1047.0,9.759,False
57805.348,983.3,10.3,False
57817.317,976.0,8.618,False
57831.769,984.7,10.01,False
57843.264,994.5,8.948,False
57859.22,971.0,9.753,False
57874.208,983.9,8.054,False
57892.294,1011.0,10.2,False
57901.209,1004.0,9.312,False
57918.164,996.7,10.34,False
57933.421,957.0,7.245,False
58127.033,897.3,7.406,False
58146.422,898.9,8.59,False
58174.079,901.4,6.876,False
58201.269,823.5,11.49,False
58216.413,859.6,6.85,False
58230.276,874.4,7.583,False
58258.285,882.1,8.143,False
58274.302,847.2,9.931,False
58289.206,843.3,6.43,False
58502.473,839.6,7.253,False
58531.501,896.7,10.12,False
58560.572,907.1,7.584,False
58587.123,889.7,7.347,False
58617.376,843.3,12.93,False
58626.784,853.6,8.117,False
58646.231,857.1,13.51,False
58656.686,869.6,7.399,False
58867.438,1024.0,10.72,False
58895.415,1040.0,9.304,False
59010.299,1024.0,13.84,False
59029.196,1028.0,10.01,False
