#x,y,yerr,mask
56660.209,103.6,2.494,False
56664.513,103.1,2.958,False
56669.5,102.1,4.611,False
56683.48,111.3,2.277,False
56686.473,111.0,2.514,False
56696.778,109.1,2.197,False
56713.426,116.1,10.68,False
56715.388,120.7,2.01,False
56717.334,117.8,2.173,False
56720.446,117.9,2.041,False
56722.387,123.4,1.875,False
56726.457,117.7,2.063,False
56739.41,120.3,2.022,False
56745.281,117.7,1.946,False
56747.416,122.0,2.328,False
56749.373,120.8,2.121,False
56751.34,118.4,2.058,False
56755.341,123.8,2.44,False
56768.227,128.7,1.896,False
56772.234,121.9,1.878,False
56780.234,126.9,1.947,False
56782.247,129.5,1.999,False
56783.248,126.3,2.084,False
56795.175,128.8,2.255,False
56799.212,130.6,1.9,False
56804.187,136.5,2.274,False
56808.259,135.6,2.387,False
56813.227,143.4,2.174,False
56825.186,148.0,2.008,False
56829.211,148.7,2.099,False
56833.21,152.5,2.055,False
56837.189,156.9,1.947,False
57038.487,153.0,2.917,False
57050.294,163.8,2.568,False
57067.372,160.4,2.475,False
57082.473,160.9,2.472,False
57097.48,160.4,3.078,False
57106.472,156.7,2.452,False
57127.217,156.1,2.676,False
57135.173,154.2,2.534,False
57159.165,160.6,2.774,False
57166.165,154.5,2.584,False
57185.171,150.3,2.355,False
57195.598,157.1,2.4,False
57428.45,210.8,3.087,False
57435.404,211.0,3.099,False
57451.456,228.1,3.179,False
57463.401,227.6,3.04,False
57480.602,224.7,3.058,False
57490.225,234.7,4.348,False
57492.342,229.5,3.075,False
57510.319,212.9,2.81,False
57518.313,227.5,2.79,False
57543.453,215.7,2.897,False
57550.163,210.8,5.784,False
57570.201,220.7,3.01,False
57576.163,229.6,3.485,False
57780.773,208.0,2.769,False
57789.442,207.8,2.812,False
57805.348,199.1,2.956,False
57817.317,196.8,2.704,False
57831.769,193.6,2.93,False
57843.264,194.1,2.73,False
57859.22,197.2,2.842,False
57874.208,191.1,2.474,False
57892.294,186.6,2.588,False
57901.209,188.8,2.665,False
57918.164,179.3,2.776,False
57933.421,171.8,2.251,False
58127.033,166.5,2.396,False
58146.422,164.9,3.029,False
58174.079,163.9,2.267,False
58201.269,151.7,3.796,False
58216.413,150.9,2.259,False
58230.276,150.4,2.347,False
58258.285,149.5,2.34,False
58274.302,148.6,3.089,False
58289.206,149.4,2.092,False
58502.473,156.6,2.773,False
58531.501,161.2,3.175,False
58560.572,169.0,2.695,False
58587.123,149.4,2.323,False
58617.376,149.3,5.37,False
58626.784,150.5,2.65,False
58646.231,163.1,5.052,False
58656.686,165.2,2.488,False
58867.438,248.5,3.463,False
58895.415,236.2,3.161,False
59010.299,262.3,5.572,False
59029.196,270.1,4.54,False
