# PLIKE V4.0 ZDCF peak likelihood analysis
# for file /home/stone28/pypetal/tot_output/mg2/pyzdcf/mg2_zdcf.dcf
#
# num      lag         r         -dr        +dr    likelihood
# ---- ---------- ---------- ---------- ---------- ----------
     1 -9.737E+02  3.288E-01  1.782E-01  1.668E-01  0.000E+00
     2 -9.451E+02  2.745E-01  2.095E-01  1.967E-01  0.000E+00
     3 -9.182E+02 -7.447E-02  2.167E-01  2.205E-01  0.000E+00
     4 -8.943E+02 -2.811E-01  1.834E-01  1.948E-01  0.000E+00
     5 -8.679E+02 -2.427E-01  1.660E-01  1.737E-01  0.000E+00
     6 -8.423E+02 -3.305E-01  1.429E-01  1.511E-01  0.000E+00
     7 -8.141E+02 -2.769E-01  1.271E-01  1.322E-01  0.000E+00
     8 -7.855E+02 -3.872E-01  1.063E-01  1.118E-01  0.000E+00
     9 -7.654E+02 -4.321E-01  9.759E-02  1.030E-01  0.000E+00
    10 -7.354E+02 -4.223E-01  9.329E-02  9.805E-02  0.000E+00
    11 -6.868E+02 -5.263E-01  8.817E-02  9.430E-02  0.000E+00
    12 -6.596E+02 -4.605E-01  1.101E-01  1.179E-01  0.000E+00
    13 -6.345E+02 -3.958E-01  1.311E-01  1.399E-01  0.000E+00
    14 -6.071E+02 -2.519E-01  1.766E-01  1.858E-01  0.000E+00
    15 -5.743E+02 -5.639E-01  1.399E-01  1.590E-01  0.000E+00
    16 -5.448E+02 -3.452E-01  1.902E-01  2.063E-01  0.000E+00
    17 -5.267E+02 -2.749E-01  1.842E-01  1.954E-01  0.000E+00
    18 -5.030E+02 -1.973E-01  1.676E-01  1.738E-01  0.000E+00
    19 -4.798E+02 -1.937E-01  1.468E-01  1.513E-01  0.000E+00
    20 -4.529E+02 -2.362E-01  1.256E-01  1.297E-01  0.000E+00
    21 -4.230E+02 -8.396E-02  1.210E-01  1.222E-01  0.000E+00
    22 -3.959E+02 -1.182E-01  1.126E-01  1.141E-01  0.000E+00
    23 -3.659E+02 -1.810E-01  1.059E-01  1.081E-01  0.000E+00
    24 -3.272E+02 -1.450E-01  1.138E-01  1.158E-01  0.000E+00
    25 -2.968E+02 -1.121E-01  1.313E-01  1.333E-01  0.000E+00
    26 -2.682E+02 -1.231E-01  1.493E-01  1.522E-01  0.000E+00
    27 -2.265E+02 -2.533E-01  1.704E-01  1.789E-01  0.000E+00
    28 -1.924E+02 -4.344E-01  1.821E-01  2.028E-01  0.000E+00
    29 -1.720E+02 -4.127E-01  1.867E-01  2.069E-01  0.000E+00
    30 -1.581E+02  1.616E-01  2.361E-01  2.267E-01  0.000E+00
    31 -1.328E+02  1.474E-01  1.820E-01  1.770E-01  0.000E+00
    32 -1.139E+02  7.306E-02  1.550E-01  1.532E-01  0.000E+00
    33 -9.398E+01  1.851E-01  1.361E-01  1.326E-01  0.000E+00
    34 -8.757E+01  1.229E-01  1.285E-01  1.265E-01  0.000E+00
    35 -6.356E+01  2.827E-01  1.121E-01  1.083E-01  0.000E+00
    36 -3.540E+01  3.590E-01  9.829E-02  9.442E-02  2.309E-11
    37 -7.828E+00  5.143E-01  8.162E-02  7.718E-02  6.452E-08
    38  2.822E+01  5.439E-01  8.459E-02  7.935E-02  8.840E-07
    39  4.950E+01  6.832E-01  6.691E-02  6.158E-02  5.104E-04
    40  7.414E+01  7.845E-01  5.517E-02  4.954E-02  2.684E-02
    41  1.003E+02  8.603E-01  4.508E-02  3.918E-02  2.339E-01
    42  1.244E+02  8.009E-01  6.909E-02  5.974E-02  5.800E-02
    43  1.453E+02  7.031E-01  1.110E-01  9.584E-02  9.218E-03
    44  1.699E+02  6.249E-01  1.466E-01  1.269E-01  3.060E-03
    45  1.991E+02  6.946E-01  1.110E-01  9.633E-02  7.239E-03
    46  2.294E+02  6.808E-01  9.078E-02  8.127E-02  2.082E-03
    47  2.630E+02  7.411E-01  6.270E-02  5.679E-02  6.294E-03
    48  2.949E+02  7.002E-01  6.306E-02  5.800E-02  9.295E-04
    49  3.334E+02  6.040E-01  7.212E-02  6.745E-02  7.626E-06
    50  3.675E+02  6.260E-01  7.440E-02  6.906E-02  4.108E-05
    51  3.973E+02  5.979E-01  8.557E-02  7.919E-02  2.770E-05
    52  4.236E+02  4.824E-01  1.217E-01  1.129E-01  3.436E-06
    53  4.430E+02  2.925E-01  1.569E-01  1.492E-01  4.081E-08
    54  4.678E+02  2.988E-01  2.019E-01  1.888E-01  4.105E-06
    55  4.825E+02 -3.272E-02  2.364E-01  2.384E-01  3.408E-08
    56  4.996E+02 -6.811E-02  2.661E-01  2.714E-01  2.896E-07
    57  5.138E+02 -2.241E-01  2.920E-01  3.160E-01  7.568E-07
