# PLIKE V4.0 ZDCF peak likelihood analysis
# for file /home/stone28/projects/petl_mock/test_repo/tot_output2/H-alpha/pyzdcf/H-alpha_zdcf.dcf
#
# num      lag         r         -dr        +dr    likelihood
# ---- ---------- ---------- ---------- ---------- ----------
     1 -9.925E+02 -9.119E-01  2.658E-02  3.109E-02  0.000E+00
     2 -9.845E+02 -9.274E-01  2.299E-02  2.716E-02  0.000E+00
     3 -9.765E+02 -9.312E-01  2.287E-02  2.727E-02  0.000E+00
     4 -9.685E+02 -9.279E-01  2.518E-02  3.033E-02  0.000E+00
     5 -9.605E+02 -9.340E-01  2.444E-02  2.983E-02  0.000E+00
     6 -9.285E+02 -9.315E-01  3.544E-02  4.760E-02  0.000E+00
     7 -8.928E+02 -6.289E-01  1.800E-01  2.256E-01  0.000E+00
     8 -8.804E+02 -3.825E-01  2.547E-01  2.910E-01  0.000E+00
     9 -8.724E+02 -3.480E-01  2.251E-01  2.488E-01  0.000E+00
    10 -8.644E+02 -2.373E-01  2.175E-01  2.308E-01  0.000E+00
    11 -8.564E+02 -1.728E-01  2.042E-01  2.123E-01  0.000E+00
    12 -8.484E+02 -1.234E-01  1.918E-01  1.967E-01  0.000E+00
    13 -8.404E+02 -1.142E-01  1.792E-01  1.831E-01  0.000E+00
    14 -8.324E+02 -1.250E-01  1.677E-01  1.715E-01  0.000E+00
    15 -8.244E+02 -1.539E-01  1.570E-01  1.611E-01  0.000E+00
    16 -8.164E+02 -1.838E-01  1.475E-01  1.518E-01  0.000E+00
    17 -8.084E+02 -2.019E-01  1.397E-01  1.441E-01  0.000E+00
    18 -8.004E+02 -2.393E-01  1.314E-01  1.360E-01  0.000E+00
    19 -7.924E+02 -2.637E-01  1.246E-01  1.293E-01  0.000E+00
    20 -7.844E+02 -2.947E-01  1.178E-01  1.226E-01  0.000E+00
    21 -7.764E+02 -3.216E-01  1.118E-01  1.165E-01  0.000E+00
    22 -7.684E+02 -3.310E-01  1.076E-01  1.121E-01  0.000E+00
    23 -7.604E+02 -3.435E-01  1.034E-01  1.078E-01  0.000E+00
    24 -7.524E+02 -3.646E-01  9.881E-02  1.031E-01  0.000E+00
    25 -7.444E+02 -3.792E-01  9.500E-02  9.922E-02  0.000E+00
    26 -7.364E+02 -4.008E-01  9.075E-02  9.491E-02  0.000E+00
    27 -7.284E+02 -4.365E-01  8.533E-02  8.949E-02  0.000E+00
    28 -7.204E+02 -4.737E-01  7.980E-02  8.392E-02  0.000E+00
    29 -7.124E+02 -4.930E-01  7.953E-02  8.392E-02  0.000E+00
    30 -7.044E+02 -5.176E-01  7.861E-02  8.329E-02  0.000E+00
    31 -6.963E+02 -5.449E-01  7.721E-02  8.218E-02  0.000E+00
    32 -6.883E+02 -5.701E-01  7.593E-02  8.119E-02  0.000E+00
    33 -6.803E+02 -6.205E-01  7.082E-02  7.633E-02  0.000E+00
    34 -6.723E+02 -6.513E-01  6.808E-02  7.382E-02  0.000E+00
    35 -6.643E+02 -6.893E-01  6.377E-02  6.966E-02  0.000E+00
    36 -6.563E+02 -6.907E-01  6.558E-02  7.187E-02  0.000E+00
    37 -6.483E+02 -7.030E-01  6.557E-02  7.222E-02  0.000E+00
    38 -6.403E+02 -7.215E-01  6.435E-02  7.134E-02  0.000E+00
    39 -6.323E+02 -7.289E-01  6.541E-02  7.292E-02  0.000E+00
    40 -6.243E+02 -7.423E-01  6.533E-02  7.335E-02  0.000E+00
    41 -6.163E+02 -7.184E-01  7.395E-02  8.323E-02  0.000E+00
    42 -6.083E+02 -7.368E-01  7.344E-02  8.349E-02  0.000E+00
    43 -6.003E+02 -7.558E-01  7.288E-02  8.384E-02  0.000E+00
    44 -5.923E+02 -7.589E-01  7.697E-02  8.955E-02  0.000E+00
    45 -5.843E+02 -7.374E-01  8.960E-02  1.052E-01  0.000E+00
    46 -5.603E+02 -7.739E-01  1.109E-01  1.431E-01  0.000E+00
    47 -5.328E+02 -6.133E-01  1.642E-01  1.981E-01  0.000E+00
    48 -5.203E+02 -5.395E-01  1.822E-01  2.137E-01  0.000E+00
    49 -5.123E+02 -5.084E-01  1.647E-01  1.868E-01  0.000E+00
    50 -5.043E+02 -5.278E-01  1.424E-01  1.597E-01  0.000E+00
    51 -4.962E+02 -5.587E-01  1.233E-01  1.375E-01  0.000E+00
    52 -4.882E+02 -5.292E-01  1.198E-01  1.316E-01  0.000E+00
    53 -4.802E+02 -4.834E-01  1.197E-01  1.297E-01  0.000E+00
    54 -4.722E+02 -4.275E-01  1.208E-01  1.291E-01  0.000E+00
    55 -4.642E+02 -3.604E-01  1.226E-01  1.293E-01  0.000E+00
    56 -4.562E+02 -3.357E-01  1.193E-01  1.251E-01  0.000E+00
    57 -4.482E+02 -2.960E-01  1.177E-01  1.225E-01  0.000E+00
    58 -4.402E+02 -2.560E-01  1.161E-01  1.199E-01  0.000E+00
    59 -4.322E+02 -1.967E-01  1.154E-01  1.183E-01  0.000E+00
    60 -4.242E+02 -1.566E-01  1.134E-01  1.155E-01  0.000E+00
    61 -4.162E+02 -9.820E-02  1.117E-01  1.130E-01  0.000E+00
    62 -4.082E+02 -6.458E-02  1.091E-01  1.099E-01  0.000E+00
    63 -4.002E+02 -1.992E-02  1.066E-01  1.069E-01  0.000E+00
    64 -3.922E+02  9.574E-03  1.039E-01  1.038E-01  0.000E+00
    65 -3.842E+02  4.005E-02  1.012E-01  1.008E-01  0.000E+00
    66 -3.762E+02  6.541E-02  9.859E-02  9.795E-02  0.000E+00
    67 -3.682E+02  6.873E-02  9.624E-02  9.559E-02  0.000E+00
    68 -3.602E+02  6.470E-02  9.410E-02  9.353E-02  0.000E+00
    69 -3.522E+02  7.489E-02  9.618E-02  9.548E-02  0.000E+00
    70 -3.442E+02  8.401E-02  9.840E-02  9.758E-02  0.000E+00
    71 -3.362E+02  8.519E-02  1.009E-01  1.000E-01  0.000E+00
    72 -3.282E+02  9.092E-02  1.035E-01  1.025E-01  0.000E+00
    73 -3.202E+02  1.207E-01  1.059E-01  1.046E-01  0.000E+00
    74 -3.122E+02  1.648E-01  1.080E-01  1.060E-01  0.000E+00
    75 -3.042E+02  2.012E-01  1.101E-01  1.076E-01  0.000E+00
    76 -2.961E+02  2.289E-01  1.127E-01  1.096E-01  0.000E+00
    77 -2.881E+02  2.554E-01  1.154E-01  1.118E-01  0.000E+00
    78 -2.801E+02  2.553E-01  1.200E-01  1.161E-01  0.000E+00
    79 -2.721E+02  2.848E-01  1.233E-01  1.186E-01  0.000E+00
    80 -2.641E+02  3.189E-01  1.265E-01  1.209E-01  0.000E+00
    81 -2.561E+02  3.299E-01  1.321E-01  1.259E-01  0.000E+00
    82 -2.481E+02  3.121E-01  1.415E-01  1.347E-01  0.000E+00
    83 -2.401E+02  3.321E-01  1.489E-01  1.408E-01  0.000E+00
    84 -2.321E+02  2.855E-01  1.647E-01  1.564E-01  0.000E+00
    85 -2.241E+02  2.403E-01  1.832E-01  1.748E-01  0.000E+00
    86 -2.001E+02  1.929E-01  2.776E-01  2.619E-01  0.000E+00
    87 -1.797E+02  1.232E-01  3.404E-01  3.249E-01  0.000E+00
    88 -1.681E+02  2.809E-01  3.092E-01  2.802E-01  0.000E+00
    89 -1.601E+02  3.288E-01  2.346E-01  2.149E-01  0.000E+00
    90 -1.521E+02  3.870E-01  1.902E-01  1.744E-01  0.000E+00
    91 -1.441E+02  4.183E-01  1.630E-01  1.502E-01  0.000E+00
    92 -1.361E+02  4.600E-01  1.412E-01  1.302E-01  0.000E+00
    93 -1.281E+02  4.894E-01  1.253E-01  1.158E-01  0.000E+00
    94 -1.201E+02  4.911E-01  1.163E-01  1.080E-01  0.000E+00
    95 -1.121E+02  4.910E-01  1.091E-01  1.018E-01  0.000E+00
    96 -1.041E+02  4.898E-01  1.033E-01  9.672E-02  0.000E+00
    97 -9.605E+01  4.930E-01  9.773E-02  9.181E-02  0.000E+00
    98 -8.804E+01  4.931E-01  9.330E-02  8.789E-02  0.000E+00
    99 -8.004E+01  5.092E-01  8.759E-02  8.257E-02  0.000E+00
   100 -7.204E+01  5.343E-01  8.135E-02  7.664E-02  0.000E+00
   101 -6.403E+01  5.584E-01  7.564E-02  7.123E-02  0.000E+00
   102 -5.603E+01  5.745E-01  7.122E-02  6.709E-02  0.000E+00
   103 -4.802E+01  5.857E-01  6.768E-02  6.380E-02  0.000E+00
   104 -4.002E+01  5.948E-01  6.464E-02  6.098E-02  0.000E+00
   105 -3.202E+01  6.071E-01  6.143E-02  5.798E-02  0.000E+00
   106 -2.401E+01  6.270E-01  5.752E-02  5.427E-02  0.000E+00
   107 -1.601E+01  6.545E-01  5.288E-02  4.984E-02  0.000E+00
   108 -8.004E+00  6.688E-01  4.993E-02  4.707E-02  0.000E+00
   109  8.004E+00  7.017E-01  4.592E-02  4.317E-02  0.000E+00
   110  1.601E+01  7.271E-01  4.373E-02  4.095E-02  0.000E+00
   111  2.401E+01  7.545E-01  4.105E-02  3.828E-02  0.000E+00
   112  3.202E+01  7.790E-01  3.852E-02  3.578E-02  0.000E+00
   113  4.002E+01  8.046E-01  3.560E-02  3.291E-02  0.000E+00
   114  4.802E+01  8.348E-01  3.157E-02  2.904E-02  0.000E+00
   115  5.603E+01  8.569E-01  2.862E-02  2.619E-02  5.980E-12
   116  6.403E+01  8.712E-01  2.688E-02  2.449E-02  2.125E-10
   117  7.204E+01  8.833E-01  2.545E-02  2.308E-02  4.284E-09
   118  8.004E+01  9.081E-01  2.116E-02  1.906E-02  7.350E-07
   119  8.804E+01  9.322E-01  1.651E-02  1.477E-02  8.178E-05
   120  9.605E+01  9.630E-01  9.614E-03  8.525E-03  1.708E-02
